hashtag,username,date,content,interactions,replies,retweets,likes,link
#nawrocki,CilComLFC,"Jun 2, 2025 · 5:04 PM UTC","BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki.

She considers his victory to be a “threat” to the stability of the European Union.

Sounds like good news to me! 😆",14421,4069,9769,583,https://nitter.net/CilComLFC/status/1929585012501893459#m
#nawrocki,ciahol,"Jun 5, 2025 · 11:42 AM UTC","Niech tylko 5 tys. komisji zrobi mini szwindel - po kilkadziesiąt głosów ""pomylonych"". I mamy te żyletki na korzyść pisiurskiego kandydata. A ściana wschodnia to potencjalne siedlisko takich komisji. Policzyć jeszcze raz tam, gdzie wygrał Nawrocki. I spr. głosy nieważne.",137,8,127,2,https://nitter.net/ciahol/status/1930590958506189237#m
#nawrocki,lenaris1969,"Jun 5, 2025 · 11:02 PM UTC","Ekipa Trzaskowskiego rozpoczyna bajkę o sfałszowanych wyborach. 
Mają  rację, gdyby nie były sfałszowane, to Karol Nawrocki miałby 70% poparcia 😅",33,8,25,0,https://nitter.net/lenaris1969/status/1930762055759380773#m
#nawrocki,kaszubka208727,"Jun 2, 2025 · 5:25 AM UTC","Dziękuję wszystkim, którzy zagłosowali na doktora @NawrockiKn 🤍❤️ Dzięki Wam wygrała Polska 🇵🇱 dr Karol Nawrocki Prezydentem Polski 🇵🇱 Pięknie brzmi! Wielkie gratulacje dla Pana Karola!",5,0,5,0,https://nitter.net/kaszubka208727/status/1929409054020886676#m
#nawrocki,Mraba559516,"Jun 5, 2025 · 2:42 PM UTC","Ci niedojebani debile piszą, Nawrocki bardzo pewny wygranej podczas wieczoru wyborczego. 
Kurwa mać, wasz Rafałek ogłosił się prezydentem a Gośkę mianował pierwszą damą jakbyście już zapomnieli.
🤭😁😁",148,12,132,4,https://nitter.net/Mraba559516/status/1930636242858758317#m
#nawrocki,lis_tomasz,"Jun 5, 2025 · 12:53 PM UTC","Nawet jeśli Nawrocki rzeczywiście wygrał, to ujawnienie ich wałków pomoże demokratom za dwa lata. A więc tak czy owak warto.",778,273,499,6,https://nitter.net/lis_tomasz/status/1930608984517435557#m
#nawrocki,kaszubka208727,"Jun 2, 2025 · 5:46 AM UTC",Karol Nawrocki Prezydentem Polski 🇵🇱,6,0,6,0,https://nitter.net/kaszubka208727/status/1929414319315317071#m
#nawrocki,MariaLe85219860,"Jun 5, 2025 · 6:45 PM UTC","Jarosław Kaczyński:
„Tej nocy, która przed nami, wygramy te wybory”

Karol Nawrocki:
„l my naprawdę wygramy w nocy te wybory. Wszyscy jutro rano budzimy się z naszym prezydentem Karolem Nawrockim”

Pamiętamy‼️
👇👇👇",34,2,32,0,https://nitter.net/MariaLe85219860/status/1930697614111965486#m
#nawrocki,GiertychRoman,"Jun 5, 2025 · 4:03 PM UTC","Podczas wieczoru wyborczego Karol Nawrocki pomimo dwóch niekorzystnych sondaży zrobionych u ludzi, którzy wychodzili z lokali, powiedział, że w nocy wygra. Prorok?",2833,1968,774,91,https://nitter.net/GiertychRoman/status/1930656812769870130#m
#nawrocki,HubnerrMax,"Jun 5, 2025 · 6:33 PM UTC","Prezydent Elekt Karol Nawrocki, odpowiada hejterom którzy obrażali jego małą córeczkę Kasię, cieszącą się na scenie w wieczór wyborczy.

Moja córka jest słodka, jest mądra, jest po prostu sobą i taka sama była na scenie.
Niech serduszka, które stamtąd wysyłała, będą odpowiedzią.",493,15,472,6,https://nitter.net/HubnerrMax/status/1930694528781922612#m
