id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,clashreport,"Karol Nawrocki becomes Poland’s new president with backing from the conservative-nationalist Law and Justice Party. He’s mixing support for Ukraine with fierce Euroscepticism, U.S. alignment, and historical grievances.",3,23,15,41,"Jun 2, 2025 · 4:10 PM UTC",218,28,
2,45johnmac,Congratulations to Poland and good luck to Karol Nawrocki who will put polish people first.,0,6,0,6,"Jun 3, 2025 · 8:51 AM UTC",91,15,
3,Ewa67401320,"PiS miał 8 długich lat na uczynienie z Polski kraj mlekie. I miodem płynący ! Zoztawił pustą KASĘ, brud i SZAMBO ! wypad do ZSRR !!!a Kaczyński do DPS- u, NAWROCKI pokieruje !!! Leki na ""głowę "" też niewiele pomogą ...",0,0,0,0,"Jun 3, 2025 · 9:02 AM UTC",218,41,
4,TomaszSakiewicz,"""Karol Nawrocki - prezydentem Polski!"" - rozległo się w Sejmie! WIDEO tvrepublika.pl/Polska/Tak-Se…",0,10,0,10,"Jun 3, 2025 · 8:41 AM UTC",99,12,
5,nikitheblogger,"Wahnsinn: Katrin Göring-Eckardt kommentiert den Wahlsieg von Nawrocki in Polen mit: Es werden schwere Zeiten für alle, die die Freiheit lieben! Gehts eigentlich noch? Die Polen haben Nawrocki mehrheitlich demokratisch gewählt... DAS ist ihre Freiheit! Oder ist es für euch nur Freiheit, wenn Linke gewinnen?",6,221,114,341,"Jun 2, 2025 · 11:48 AM UTC",307,45,
6,arturmate9,Nawrocki prezydent Bosak premier Mentzen Minister finansow Braun Minister KiDN Tarczyński -Minister spraw zagranicznych Gen. Andrzejczak - Minister obrony narodowej Bryłka - minister rolnictwa,0,0,0,0,"Jun 3, 2025 · 9:02 AM UTC",192,24,
7,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",370,10606,817,11793,"Jun 2, 2025 · 5:05 PM UTC",192,30,
8,Tomasz5ek,"""Polska pękła"", ""Polska może przestać wspierać Kijów"" - cieszą się media Kremla po zwycięstwie @NawrockiKn Putinowska agencja TASS obszernie nagłaśnia antyukraińską postawę Nawrockiego. I przypomina, że Rosja wciąż walczy z Ukraińską Powstańczą Armią, podobnie jak Nawrocki.",6,208,32,246,"Jun 3, 2025 · 5:30 AM UTC",274,36,
9,GregParis75017,"W kampanii wyborczej pan Nawrocki zapowiedział że jeśli zostanie Prezydentem to jego pierwszą podróżą będzie Watykan! Czy Papież już wie że kibol i alfons który krzyczał ze swoimi ziomkami na Jasnej Górze ""Raz sierpem Raz młotem Czerwoną hołotę"" wybiera się do niego w odwiedziny",4,68,55,127,"Jun 2, 2025 · 10:08 PM UTC",279,44,
10,DolnyMokotow,Powoli przyzwyczajajmy się do przejścia z PAD na PKN. Niech żyje Pan Prezydent Nawrocki!,1,39,2,42,"Jun 2, 2025 · 8:22 PM UTC",88,14,
11,nikitheblogger,"Bombe: In Polen wird der rechte Kandidat Nawrocki neuer Präsident! Er ist gegen die Unterstützung der Ukraine, gegen Massenmigration, für die traditionelle Familie, pro Trump und von der Leyen hat Angst vor ihm! Ist das geil oder ist das geil?",6,267,130,403,"Jun 2, 2025 · 10:12 AM UTC",243,40,
12,GuntherEagleman,MSNBC is very upset over Karol Nawrocki winning the presidency in Poland. They even note how the last minute smear campaigns didn't work. @JackPosobiec can you send them our regards?,17,336,95,448,"Jun 2, 2025 · 5:17 PM UTC",182,30,
13,cholewa_bojowa,"Mamy nowego prezydenta, 40+ letniego faceta, który *już* uwielbia o sobie mówić w 3os.l.p. i kocha dźwięk własnego nazwiska. Odkryjemy pokłady narcyzmu i buty jakiej u Dudy po 10 latach nie było. Będzie straszno-żałośnie. #Nawrocki #NawrockiPrezydent #Wybory",0,0,0,0,"Jun 3, 2025 · 9:02 AM UTC",258,37,
14,JimFergusonUK,"BREAKING: President Nawrocki: “In my Poland, we don’t build migrant integration centres — we build deportation centres for those who threaten our nation.” Poland has chosen strength. Poland is in safe hands. @NawrockiKn",32,987,72,1091,"Jun 2, 2025 · 5:17 PM UTC",219,33,
15,AdamMoczar,"Polish conservative walks across debate stage to his liberal opponent, places an LGBT flag on his podium and says “Here, here is your flag” This great patriot is Karol Nawrocki, elected president of Poland. 🥳",39,1096,130,1265,"Jun 2, 2025 · 6:49 PM UTC",208,35,
16,geertwilderspvv,"President-elect #Nawrocki said earlier: “Let’s help others, but let’s take care of our own citizens first,” “If I become president, I will be guided by a simple but important principle: Poland first, Poles first.” Congratulations Poland, with this patriotic President!",49,2019,271,2339,"Jun 2, 2025 · 10:40 AM UTC",268,40,
