id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,adijas628,"Nie tylko Nawrocki ale i też chory z nienawiści Jarosław Kaczyński podczas wieczoru wyborczego zachęcał swoich ludzi w OKW do fałszerstw wyborczych słowami ""w nocy wygramy"". To kolejny dowód, że PiS świadomie organizował proceder tych fałszerstw! #PowtorzyćDrugąTurę #Siódemka",0,2,0,2,22-06-25,276,38,,https://nitter.net/adijas628/status/1936719499731914897#m
2,SebastianKukul4,"Jaśniej się nie da, wy tępe wyprane łby. Jak ja nienawidzę sekciarzy. Karol Nawrocki został prezydentem. Rafał Trzaskowski też ale Warszawy. nitter.net/i/grok/share/6SKnG76w7…",0,76,0,76,21-06-25,175,22,,https://nitter.net/SebastianKukul4/status/1936518600912764996#m
3,jachcy,Pilne🔥 ➡️Karol Nawrocki nie ucałował dłoni Małgorzaty Kidawy-Błońskiej🤭🙃,16,133,285,434,21-06-25,72,8,,https://nitter.net/jachcy/status/1936487439390159241#m
4,VValhalla777,"Nawrocki na pewno nie wygrał wyborów, Panie Marszałku @szymon_holownia Pan to wie, proszę się przestać bać pewnych decyzji. Ma Pan „jaja” bo jeżeli nie proszę odejść, dać innym ratować nasz kraj. Bo to co wyjdzie będzie aferą na skalę światową.",2,66,13,81,22-06-25,244,40,,https://nitter.net/VValhalla777/status/1936704827792228450#m
5,igorsushko,"Poland: Significant vote miscounts uncovered in the May Presidential election. Around 650 people vote per typical polling station. At one location, 160 votes for Trzaskowski were counted for Nawrocki. At another location, all votes were flipped. tvpworld.com/87351951/polish…",16,616,30,662,21-06-25,275,37,,https://nitter.net/igorsushko/status/1936487258200355256#m
6,Vojtekus,"Prokuratura ustaliła, że do zamiany głosów doszło w 7 z 10 badanych komisji. Nie możemy tego przełożyć na wszystkie, ale nie ma takiej potrzeby. Jeżeli anomalie statystyczne wykryto w 1482 komisjach, to w ok. 1000 Nawrocki mógł zyskać po kilkaset głosów. Mamy tego nie sprawdzić?",0,57,16,73,21-06-25,279,45,,https://nitter.net/Vojtekus/status/1936520614488981603#m
7,FilipFlorian122,"Jak dla mnie to mogą przeliczyć głosy jeszcze raz, okaże się pewnie że Nawrocki ma jeszcze więcej głosów",0,0,0,0,22-06-25,104,18,,https://nitter.net/FilipFlorian122/status/1936724053378650522#m
8,Wiesaw029,"To były najprostsze z możliwych wyborów. Dwóch kandydatów. Głosy rozkładamy na trzy kupki. Kandydat Nawrocki, kandydat Trzaskowski i nieważne. Jak tam się można pomylić? To było zwyczajne oszustwo wyborcze. Ludzie którzy tego dokonali powinni odpowiedzieć karnie.🤨",2,189,30,221,21-06-25,264,36,,https://nitter.net/Wiesaw029/status/1936298219492786239#m
9,mhorala,"Prawdziwe wyniki głosowania są znane - wygrał Karol Nawrocki. A ty przestań destabilizować państwo, szkodniku.",1,381,139,521,21-06-25,110,15,,https://nitter.net/mhorala/status/1936370044604391823#m
10,rabin738758,"Jago naiwny goj ciągle jeszcze wierzę, że Nawrocki nie do końca wiedział z kim się fotografuje. Czas pokaże.",0,0,0,0,22-06-25,108,18,,https://nitter.net/rabin738758/status/1936723994113167793#m
11,JAMaciejewski,"Ależ wzruszenie! Prezydent elekt Karol Nawrocki przyjechał do Sulejowa na zjazd Klubów Gazety Polskiej. Łzy szczęścia w oczach na każdym kroku. Ale posłuchajcie tej spontanicznie wykonanej pieśni - jak z I Rzeczpospolitej - ""on jest pierwszy spośród nas"" 🎶🎵🇵🇱💪",3,95,5,103,22-06-25,260,39,,https://nitter.net/JAMaciejewski/status/1936701246569689223#m
12,JakubKubunio,"To świetny moment aby obserwować debatę publiczną w tym kraju, wszystkie pisowskie czopy wychodzą jak grzyby po deszczu. Czy Karol Nawrocki wygrał wybory? Tak, różnica głosów jest zbyt duża. Czy bezprecedensowe nieprawidłowości w liczeniu głosów miały miejsce? Tak, w interesie każdego obywatela szanującego podstawowe zasady demokracji powinno być aby to wyjaśnić, przecież tego nie trzeba tłumaczyć. Naszym obowiązkiem jest bronienie ostatnich podwalin demokracji, które zostały nam po 8 latach PiS i jest nim uczciwe liczenie każdego głosu wyborczego, każdą nieprawidłowość trzeba uczciwe, bez emocji wyjaśnić.",0,14,5,19,22-06-25,613,85,,https://nitter.net/JakubKubunio/status/1936716969849376822#m
13,SlavoB3,"Histeryczna reakcja PIS na propozycję ponownego przeliczenia wszystkich głosów wskazuje na to, że złodzieje zostali złapani za rękę. Przecież również pisowcom powinno zależeć na rozwianiu wszelkich wątpliwości. Jeżeli Nawrocki wygrał uczciwie, przeliczenie tylko to potwierdzi.",0,2,0,2,22-06-25,277,35,,https://nitter.net/SlavoB3/status/1936712434749960299#m
14,BatugWojciech,"-pracująca w Niemczech koleżanka córki: słyszeliście, że Nawrocki załatwiał klientom w hotelu prostytutki? -to kłamstwo, -jak to, przecież mówili wiele razy w wiadomościach. Dobra dziewczyna, znam ją wiele lat. Tak oni niszczą percepcję ludzi. Kłamstwo. Der Plan. Dzień dobry.",1,116,9,126,22-06-25,276,39,,https://nitter.net/BatugWojciech/status/1936677243184431158#m
15,IkaKrawczyk,"Przewodniczący komisji był zażenowany – nie wiedział, kto zgłosił protest i dlaczego. W tej komisji wygrał Nawrocki, ale po przeliczeniu głosów w ramach protestu okazało się, że w worku z 368 głosami Nawrockiego było… 90 głosów na Trzaskowskiego. Efekt? Po ponownym liczeniu: Trzaskowski – 428 Nawrocki – 278 To nie pomyłka. To jest właśnie sens kontroli i jawności wyborów.",72,1080,289,1441,21-06-25,374,59,,https://nitter.net/IkaKrawczyk/status/1936329521273221297#m
