id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,JackPosobiec,Nawrocki is now the President-Elect of Poland,26,2029,155,2210,"Jun 2, 2025 · 10:07 AM UTC",45,7,
2,eduardomenoni,"| El presidente electo de Polonia, Karol Nawrocki, dice: “Mi Polonia es una Polonia sin inmigrantes ilegales. Es una Polonia donde en lugar de centros de integración hay centros de deportación para aquellos que quieren destruir nuestra seguridad”.",64,2662,135,2861,"Jun 2, 2025 · 12:48 AM UTC",247,38,
3,Ad_Vitam44_,"« Ma Pologne, c’est une Pologne sans immigration illégale. Ce n’est pas de centres d’intégration que nous avons besoin, mais de centres de déportation pour ceux qui menacent notre sécurité. » Karol Nawrocki Nous devons faire la même chose en France, partout en Europe , et maintenant……….. 🤍",3,63,9,75,"Jun 3, 2025 · 5:17 AM UTC",290,48,
4,geertwilderspvv,"President-elect #Nawrocki said earlier: “Let’s help others, but let’s take care of our own citizens first,” “If I become president, I will be guided by a simple but important principle: Poland first, Poles first.” Congratulations Poland, with this patriotic President!",46,1992,265,2303,"Jun 2, 2025 · 10:40 AM UTC",268,40,
5,CryptooRadar,"Karol Nawrocki terpilih sebagai Presiden Polandia dengan 50,89% suara. Dikenal sebagai pendukung Bitcoin, ia berjanji menghapus pajak capital gain dan menolak regulasi ketat terhadap crypto. #CryptoNews #CryptoRadar #CryptoRadarNews",0,0,0,0,"Jun 3, 2025 · 8:01 AM UTC",232,28,
6,Cenckiewicz,"Pan Prezydent elekt dr Karol Nawrocki @NawrockiKn bez śladu zmęczenia, za to ja odpocząć muszę po tej kampanii :)",4,93,35,132,"Jun 3, 2025 · 7:48 AM UTC",113,19,
7,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,388,6521,2579,9488,"Jun 2, 2025 · 5:04 PM UTC",274,43,
8,FoxNews,"WINNER, WINNER: A key American ally is following America's playbook, after Polish voters swung in favor of the conservative candidate at the ballots. The victory for Karol Nawrocki comes after he personally met @realDonaldTrump at the @WhiteHouse last month and received praise from @Sec_Noem for his border enforcement plans.",8,171,85,264,"Jun 3, 2025 · 12:51 AM UTC",326,49,
9,NorbertMaker,Nie pamiętam czy kiedykolwiek po dwóch godzinach snu wstałem taki szczęśliwy. Urodziłem się w Polsce KAROL NAWROCKI PREZYDENTEM POLSKI Przeżyjmy to jeszcze raz.,1,99,5,105,"Jun 2, 2025 · 9:25 AM UTC",160,23,
10,AdamMoczar,"Polish conservative walks across debate stage to his liberal opponent, places an LGBT flag on his podium and says “Here, here is your flag” This great patriot is Karol Nawrocki, elected president of Poland. 🥳",36,967,118,1121,"Jun 2, 2025 · 6:49 PM UTC",208,35,
11,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",359,10357,785,11501,"Jun 2, 2025 · 5:05 PM UTC",192,30,
12,ricwe123,"This is Karol Nawrocki, now officially Poland’s president with 50.9% of the vote. He’s known for his hardline views on Ukraine ,and you can bet the Brussels bureaucrats won’t be thrilled. ""We must become the main force rebuilding Ukraine after the end of the war. I will not send Polish soldiers to Ukraine. Polish soldiers must defend Poland. The discussion about Ukraine joining NATO is absolutely groundless. This will put the entire alliance in a state of war with Russia""",7,187,25,219,"Jun 2, 2025 · 8:04 AM UTC",476,80,
13,EmekaGift100,BREAKING: Karol Nawrocki wins the Presidential elections of Poland. #Polandelection2025,0,36,2,38,"Jun 2, 2025 · 9:01 AM UTC",87,10,
14,Pacanow,Nie - PKWN - Prezydent Karol Wielki Nawrocki 🤓,0,0,0,0,"Jun 3, 2025 · 8:01 AM UTC",46,9,
15,MrJohnBingham,"Pozdrawiam serdecznie, Karol Nawrocki. a.k.a Tadeusz Batyr, wybierz sobie od kogo dostałeś właśnie baty.",18,381,31,430,"Jun 2, 2025 · 4:11 PM UTC",104,14,
16,PsyGuy007,"Karol Nawrocki a déclaré : « Ma Pologne est une Pologne sans migrants illégaux. C'est une Pologne où, au lieu de centres d'intégration, il y a des centres de déportation pour ceux qui veulent détruire notre sécurité. » Êtes-vous d’accord avec lui ? A. OUI B. NON",68,1077,1014,2159,"Jun 2, 2025 · 2:32 PM UTC",262,47,
17,DDStandaard,Polen kiest voor soevereiniteit: Nawrocki verslaat EU-marionetten dagelijksestandaard.nl/buite…,0,10,2,12,"Jun 2, 2025 · 3:00 PM UTC",95,8,
18,Load newest,Brak treści,0,0,0,0,,11,2,
19,AdamMoczar,"Polish conservative walks across debate stage to his liberal opponent, places an LGBT flag on his podium and says “Here, here is your flag” This great patriot is Karol Nawrocki, elected president of Poland. 🥳",36,967,118,1121,"Jun 2, 2025 · 6:49 PM UTC",208,35,
20,Cenckiewicz,"Pan Prezydent elekt dr Karol Nawrocki @NawrockiKn bez śladu zmęczenia, za to ja odpocząć muszę po tej kampanii :)",4,93,36,133,"Jun 3, 2025 · 7:48 AM UTC",113,19,
21,DameBTC,A debile sie dziwią dlaczego Nawrocki z aferami wygrywa wybory.,0,0,0,0,"Jun 3, 2025 · 8:01 AM UTC",63,10,
22,M4rekM,"Pani i sztabu nie zastanawia, ze kaczynski mowi po 21 jak i Nawrocki, ze wygrają w nocy? I wygrywają?! To taki sutenerski i kremlowski styl. Prawie 1.5mln głosów różnicy w małopolskim, lubelskim i Podkarpaciu... Przypadek? Balbina skręcił wybory jak w 2020r.",0,0,0,0,"Jun 3, 2025 · 8:01 AM UTC",258,41,
23,DudekPL4,"W zakładzie psychiatrycznym, dowiedzieli się że wygrał Karol Nawrocki 🤣",6,37,50,93,"Jun 2, 2025 · 10:04 PM UTC",71,10,
24,forzanimes1203,"Selon le nouveau président Karol Nawrocki de la Pologne : Zéro migration illégale équivaut à zéro attaque terroriste. Simple comme ""bonjour"" sauf macron qui ne l'a toujours pas compris #PolandElection",0,0,0,0,"Jun 3, 2025 · 8:01 AM UTC",200,30,
25,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",359,10357,785,11501,"Jun 2, 2025 · 5:05 PM UTC",192,30,
26,JackPosobiec,Nawrocki has done it! The nationalist and first-time candidate has just been elected President of Poland,71,5258,304,5633,"Jun 2, 2025 · 9:07 AM UTC",104,16,
27,antynazista,"W Kijowie, Berlinie i Brukseli chłodno przyjęto informację, że Nawrocki wygrał wybory. To mnie tylko utwierdziło w przekonaniu, że warto było mu dać mały kredyt zaufania. Prezydent ma służyć Polakom, a nie bronić interesów zagranicznych oligarchów. #Wybory2025",0,2,2,4,"Jun 3, 2025 · 7:48 AM UTC",260,37,
