id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,374,6237,2478,9089,"Jun 2, 2025 · 5:04 PM UTC",274,43,
2,dupontaignan,"Félicitations à Karol Nawrocki pour sa victoire face au candidat de Bruxelles. Une claque pour l’Union européenne, un espoir pour tous les peuples qui refusent la soumission à une technocratie hors-sol. La Pologne montre la voie du sursaut national. À quand la France ?",14,837,99,950,"Jun 2, 2025 · 8:43 AM UTC",269,44,
3,questiona_te,"| Recém eleito Presidente da Polónia, Karol Nawrocki é nacionalista e defende o fim dos pactos migratórios impostos pela UE. O mesmo fez vários discursos que repercutiram bastante nas redes sociais, nos quais informou que iria acabar com o apoio humano à Ucrânia.",0,1,0,1,"Jun 3, 2025 · 7:01 AM UTC",263,43,
4,OmzRi,"NAWROCKI JEDNAK ODPOWIE ZA SWOJE NIKCZEMNE CZYNY Dysponujemy ekspertyzą prawną, z której jasno wynika, że prokuratura może dalej prowadzić sprawy dotyczące czynów, jakich dopuścił się w przeszłości Karol Nawrocki. Nie może mu jednak postawić zarzutów i przesłać do sądu aktu oskarżenia tak długo jak długo pełni funkcję prezydenta. Jedak natychmiast po zakończeniu jego kadencji, prokurator będzie mógł postawić Nawrockiego przed sądem. PRZERWANY BIEG PRZEDAWNIENIA Jest też bardzo dobra wiadomość. W związku z tym, że Karol Nawrocki dopuścił się czynów zabronionych przed wybraniem go na prezydenta - to przerwany zostaje bieg przedawnienia czynów, których się dopuścił. To oznacza, że nawet jeśli jego kadencja potrwa 10 lat to żadne z przestępstw, których się dopuścił nie ulegnie przedawnieniu. Chodzi tu przede wszystkim o sprawę wyłudzenia mieszkania od starszego mężczyzny oraz o rozpowszechnianie treści rasistowskich w trakcie kampanii. W obu tych sprawach stroną zawiadamiającą jest Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych. CZY MOŻNA NAWROCKIEGO POSTAWIĆ PRZED SĄDEM PRZED ZAPRZYSIĘŻENIEM? Można! Jednak tylko teoretycznie. Do zaprzysiężenia prezydenta elekta zostało 65 dni, a to za mało, by przeprowadzić śledztwo, przeprowadzić proces i rozpoznać apelację od wyroku, który zapadnie. Polski wymiar sprawiedliwości jest w rozsypce, po ""reformach"" Ziobry. Procesy karne trwają w tej chwili po 4 lata i to całkiem prostych sprawach. _____ Wspieraj nas. Ścigamy rasistów, homofobów, faszystów, ksenofobów. Bez żadnego wsparcia państwa, bez unijnych dotacji. Jedynym źródłem finansowania działań Ośrodka są dobrowolne darowizny naszych zwolenników. Wspieraj nas: PayPal i karta płatnicza: omzrik.pl/wesprzyj-nas zbiórka: zrzutka.pl/omzrik Dane do przelewu: nr konta 19 2490 0005 0000 4520 8435 8540 Ośrodek Monitorowania Zachowań Rasistowskich i Ksenofobicznych Plac Dąbrowskiego 5 00-057 Warszawa tytuł : ""darowizna na działalność statutową"" IBAN : PL19249000050000452084358540 SWIFT: ALBPPLPW Uruchomiliśmy nasz profil na portalu Patronite, będziemy zobowiązani jeśli zdecydujecie się Państwo zostać naszymi patronami: patronite.pl/omzrik",23,400,548,971,"Jun 2, 2025 · 5:51 PM UTC",2170,289,
5,cpt_davidov,Karol Nawrocki maczał palce w sprawie Manfrediego i Johnsona,5,161,26,192,"Jun 2, 2025 · 8:31 PM UTC",60,9,
6,antynazista,"Młodszy Szechter spędzał wieczór wyborczy w sztabie Platformy i „Wyborcza” się tym wręcz szczyci. Oni są oficjalnie zblatowani. To groźne dla demokracji zjawisko, bo ludzie ze stajni Szechtera udają dziś dziennikarzy i wszędzie ich pełno. Cud, że Nawrocki wygrał wybory, bo inaczej nie byłoby co zbierać z Polski.",0,2,1,3,"Jun 3, 2025 · 6:31 AM UTC",313,48,
7,PrawaStronaa,"W całej Warszawie głosowało wczoraj 1 139 675 ludzi, Nawrocki otrzymał tylko 362 322 głosów, jebać to miasto.",3,58,198,259,"Jun 2, 2025 · 3:37 PM UTC",109,18,
8,PibacJes,"Starsi nie lepsi... wczoraj się pokłóciłem ze znajomą, bo ona twierdzi, że Nawrocki to idealny prezydent, bo potrafi się bić. A, że mamy trudne czasy, wojnę, to on będzie się za nas bić 🤣🤣🤣Tacy ludzie powinni mieć odebrane prawa wyborcze #jprdl.",0,0,0,0,"Jun 3, 2025 · 7:01 AM UTC",245,41,
9,Trump_Fact_News,"Le président polonais Nawrocki : « Ma Pologne est une Pologne où, au lieu de centres d’intégration pour migrants, il y a des centres de déportation pour ceux qui veulent détruire notre pays ! » La Pologne est entre de bonnes mains.",22,910,40,972,"Jun 2, 2025 · 5:33 PM UTC",231,42,
10,RadioWNET,"„Wśród elit unijnych pojawiają się głosy, że Polska nie będzie otrzymywać pieniędzy przez to, że wybory wygrał Karol Nawrocki a nie Rafał Trzaskowski” – Jacek Saryusz-Wolski, były wiceprzewodniczący PE @JSaryuszWolski @skowronskiwnet piped.video/watch?v=0aOrchBm…",0,22,4,26,"Jun 3, 2025 · 6:27 AM UTC",263,32,
11,HenriLindroos,"Eurooppa saattoi pelastua Puolan vaaleissa. Nawrocki, kristitty mies, joka haluaa USA:n kanssa läheisemmät suhteet yli EU:n ja lupaa vahvemman armeijan, voitti. Häviäjä oli EU-federalisti, LBTQ, DEI ja monikulttiurisuuden levittäjä, joka ajoi lisää abortteja. Hyvä Puola!",0,63,25,88,"Jun 2, 2025 · 8:11 AM UTC",271,35,
12,YannBaly,"Bravo au peuple polonais, toujours sentinelle de la Chrétienté ! Vive la Pologne ! Vive la vie ! #Pologne #Karol_Nawrocki #Europe #Chrétienté",0,0,0,0,"Jun 3, 2025 · 7:01 AM UTC",141,22,
13,ChrisEbner_FM,"Nicht konservativ ist an Trump, dass er mehrfach verheiratet war. Das trifft auf Nawrocki nicht zu",0,0,0,0,"Jun 3, 2025 · 7:01 AM UTC",98,16,
14,befree1918,Nie kłam. Nawrocki wygrał w grupie wiekowej poniżej 40 lat. W grupie 19 do 29 lat Nawrocki dostał 60% głosów. Na Trzaskowskiego głosują ludzie z czasów komuny.,0,0,0,0,"Jun 3, 2025 · 7:01 AM UTC",159,27,
15,_Afraniusz,"Dość tego politycznie poprawnego pierdololo: prawda jest taka, że Nawrocki został prezydentem bo głosowali na niego niewykształceni, biedni, „stara” Polonia i kibole. A na Trzaskowskiego nie zagłosowali „obrażeni” wyborcy politycznego planktonu. Plus głupota sztabu i Gajewska",5,52,150,207,"Jun 3, 2025 · 5:56 AM UTC",276,36,
16,Load newest,Brak treści,0,0,0,0,,11,2,
17,RadioWNET,"„Wśród elit unijnych pojawiają się głosy, że Polska nie będzie otrzymywać pieniędzy przez to, że wybory wygrał Karol Nawrocki a nie Rafał Trzaskowski” – Jacek Saryusz-Wolski, były wiceprzewodniczący PE @JSaryuszWolski @skowronskiwnet piped.video/watch?v=0aOrchBm…",0,22,4,26,"Jun 3, 2025 · 6:27 AM UTC",263,32,
18,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,374,6237,2478,9089,"Jun 2, 2025 · 5:04 PM UTC",274,43,
19,Piotr49245439,Ja mam takie marzenie żeby Pan Nawrocki pierwsze co zrobi to zdelegalizuje wasza chory ośrodek. Trzymam kciuki żeby tak było.,0,0,0,0,"Jun 3, 2025 · 7:01 AM UTC",125,20,
20,radio_szczecin,"To była wyjątkowo brutalna kampania, w której ""oberwali"" obaj kandydaci - zdaniem szczecińskiego radnego Prawa i Sprawiedliwości zarówno Karol Nawrocki, jak i Rafał Trzaskowski musieli mierzyć się z niespotykanie dużą falą ataków. radioszczecin.pl/1,489191,ra…",0,0,0,0,"Jun 3, 2025 · 7:01 AM UTC",260,33,
