id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,laderechadiario,"| El presidente Donald Trump felicitó al presidente electo de Polonia, el historiador de extrema derecha Karol Nawrocki: ""¡Felicidades, Polonia! ¡Eligieron un GANADOR!"".",0,18,1,19,"Jun 3, 2025 · 2:31 PM UTC",169,23,
2,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,84,2559,246,2889,"Jun 3, 2025 · 11:57 AM UTC",162,24,
3,UpdateNews724,"BREAKING: The new President of Poland, Karol Nawrocki, called on the European Union to respect the sovereignty of European nations and Christian values.",1,31,10,42,"Jun 3, 2025 · 2:52 PM UTC",152,23,
4,AdamMoczar,"Polish conservative walks across debate stage to his liberal opponent, places an LGBT flag on his podium and says “Here, here is your flag” This great patriot is Karol Nawrocki, elected president of Poland. 🥳",72,2019,224,2315,"Jun 2, 2025 · 6:49 PM UTC",208,35,
5,pete_rizzo_,BREAKING: PRO-BITCOIN PRESIDENTIAL CANDIDATE NAWROCKI JUST WON THE POLISH ELECTIONS EUROPE IS EMBRACING BTC. HUGE,14,711,173,898,"Jun 2, 2025 · 8:03 AM UTC",113,15,
6,JanKot07,"Polska staje się ""sławna"" w świecie...🤔 W Ameryce piszą o nowym prezydencie... Tłumaczenie dla pisowskiego elektoratu który przecież nie zna angielskiego: ""Antyeuropejski chuligan stadionowy, sutener Karol Nawrocki wygrywa wybory prezydenckie w Polsce o włos""...",1,62,9,72,"Jun 3, 2025 · 8:01 AM UTC",262,34,
7,pawel_zabrze,"Myślę, że Prezydent Karol Nawrocki podpisaĺby projekt ustawy o kwocie wolnej od podatku do 60 tysięcy złotych. Ale takiej ustawy rząd Donalda Tuska nie utworzy, bo im nie zależy na dobru Polski i Polaków! Jesteś tego samego zdania, to RT mile widziane",0,9,0,9,"Jun 2, 2025 · 6:07 PM UTC",251,42,
8,skrupulatny,"Długo nie potrafiłem sobie uświadomić, dlaczego tak bardzo przekonujące są zapewnienia pisowców, że Nawrocki będzie łączył Polaków i zakończy podziały jako kandydat obywatelski. I właśnie to sobie uświadomiłem, Dlatego:",0,39,9,48,"Jun 3, 2025 · 12:58 PM UTC",219,29,
9,adijas628,"Czy nam to się podoba czy nie tylko Koalicja Obywatelska jest jedyną siłą, która jest w stanie powstrzymać brunatną falę PiSu i Konfederacji. Tak więc albo silna KO albo będziemy mieli okrutne nierządy koalicji PiS-Konfa. Nie ma innej drogi! #Siódemka",1,1,0,2,"Jun 3, 2025 · 2:52 PM UTC",251,40,
10,LukePaulPL,"I ja choć miałem coś innego na myśli napisałem bzdurę (w ostatnim wpisie). Gdyby połowa tej różnicy zmieniła zdanie, to oczywiście wtedy oscylowalibyśmy w okolicach remisu. Gdyby nikt zdania nie zmienił, a głosy nieważne przypisać Trzaskowskiemu, to dalej wygrałby Nawrocki.",0,0,0,0,"Jun 3, 2025 · 2:59 PM UTC",274,40,
11,LaurentSegnis,"« Une Europe respectueuse de l’État de droit » : Emmanuel Macron adresse un message clair au nouveau président polonais Le message de Paris à Varsovie est clair. Ce lundi, @EmmanuelMacron et Jean-Noël Barrot ont tous les deux félicité le nouveau président polonais Karl Nawrocki, tout en appelant le dirigeant nationaliste à collaborer avec ses voisins européens dans le respect de l’État de droit. leparisien.fr/international/…",2,51,5,58,"Jun 2, 2025 · 6:36 PM UTC",428,65,
12,Anneke172351868,"Polen staat op het punt om zich terug te trekken uit het EU-migratiepact en terecht. Dit is niet zomaar een impulsieve zet, maar een logische stap na de overwinning van nationalist Karol Nawrocki. Het migratiebeleid van de EU faalt compleet: het dwingt landen als Polen om migranten te accepteren waar ze dat niet willen, en dat leidt tot chaos en verdeeldheid. En Polen staat hierin niet alleen. Hongarije, Tsjechië en Slowakije staan al jarenlang pal tegen deze verplichte migratiequota. Zij kiezen voor nationale soevereiniteit en strengere grenscontroles. Het wordt tijd dat de EU dit ook erkent. Dit is een signaal: landen pakken hun eigen belangen weer serieus en zeggen ‘nee’ tegen de EU bemoeienis die niet werkt. Europa staat op een keerpunt en Polen laat zien hoe het moet.",8,253,36,297,"Jun 2, 2025 · 9:03 AM UTC",783,129,
13,Load newest,Brak treści,0,0,0,0,,11,2,
14,MruwczakF,@NawrockiKn usunął wszystkie posty ze swojego prywatnego konta na fb #PrezydentPolski #Nawrocki #karolnawrocki #prezydent #wybory,0,0,0,0,"Jun 3, 2025 · 2:59 PM UTC",129,15,
15,HektikHektor,"IT'S OFFICIAL!!! WOWWW!!!!!!! POLAND HAS DECIDED!!!! RIGHT leaning, traditionalist, EU skeptik, Karol Nawrocki has upset the odds & just been voted President of POLAND!!! I believe for a united, safe & prosperous POLAND leading Europe & the World!! BE LIKE POLAND!!! Love Life",24,1139,155,1318,"Jun 2, 2025 · 2:22 AM UTC",276,43,
16,CilComLFC,"Poland’s new President Karol Nawrocki: - Described as patriotic, pro-Christian and supportive of Donald Trump. - Opposes abortion and same-sex marriage. - Opposes the sexualization of children by LGBT groups. - Plans to build Deportation Centres. Poland has been SAVED!",34,1238,185,1457,"Jun 2, 2025 · 7:48 PM UTC",269,40,
17,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,84,2562,247,2893,"Jun 3, 2025 · 11:57 AM UTC",162,24,
18,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,480,7981,3200,11661,"Jun 2, 2025 · 5:04 PM UTC",274,43,
19,JanKot07,"Polska staje się ""sławna"" w świecie...🤔 W Ameryce piszą o nowym prezydencie... Tłumaczenie dla pisowskiego elektoratu który przecież nie zna angielskiego: ""Antyeuropejski chuligan stadionowy, sutener Karol Nawrocki wygrywa wybory prezydenckie w Polsce o włos""...",1,62,9,72,"Jun 3, 2025 · 8:01 AM UTC",262,34,
20,H050322,Pan Jerzy to teraz będzie miał luksus. Pewnie dr Nawrocki weźmie go do Pałacu...,3,42,20,65,"Jun 3, 2025 · 11:00 AM UTC",80,14,
21,AlertaNews24,"| AHORA: El presidente electo de Polonia, Nawrocki: ""Estimado Presidente Zelensky, espero continuar la asociación entre nuestros países, basada en el respeto y el entendimiento mutuos. Creo que se requiere no solo un buen diálogo, sino también resolver problemas históricos pendientes. Polonia ha sido el mayor apoyo de Ucrania contra la agresión rusa; ninguna otra nación comprende esta amenaza mejor que nosotros, y esperamos podamos continuar trabajando juntos por el bien común para resolver el pasado inestable y construir un futuro seguro juntos"".",2,110,16,128,"Jun 3, 2025 · 1:28 PM UTC",553,83,
22,UpdateNews724,"Poland’s new President Karol Nawrocki: ""My Poland is a Poland without illegal migrants! A Poland with deportation centers for those who want to destroy our safety!""",85,1785,223,2093,"Jun 2, 2025 · 2:43 PM UTC",164,26,
23,KnightCziwi,New President of Poland - Karol Nawrocki,1,94,5,100,"Jun 2, 2025 · 5:44 PM UTC",40,7,
24,EdoMarcin,"P I L N E !!! OFICJALNIE ZWYCIĘZCĄ WYBORÓW PREZYDENCKICH ZOSTAŁ... DR KAROL NAWROCKI !!! PANIE BOŻE - JESTEŚ WIELKI, JESTEŚ WSZYSTKIM. Z CAŁEGO SERCA, Z CAŁEJ MOCY, ZE WSZYSTKICH SIŁ - DZIĘKUJĘ!!! KAROL NAWROCKI W WYJĄTKOWO NIERÓWNEJ WALCE POKONAŁ CZŁONKA BANDY K13GR.",10,497,118,625,"Jun 2, 2025 · 3:37 AM UTC",268,43,
