id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,DawidWildstein,Dawid Wildstein,"Znów mnie nie było niecałą dobę, wracam i okazuje się, że jakaś banda psycholi uznała, że wyleje pornograficzny hejt na dziewczynkę, którą wziął na barana Nawrocki. I kto to zrobił? Oczywiście jakieś Uśmiechnięte Bydło z okolic Giertycha. Mam tylko jedno pytanie. Dlaczego w 99 procentach każdy, kto ma w nazwie Europejską flagę, znaczek PO i słowa ""Silni Razem"" okazuje się skrajnie durnym, niebywale agresywnym i sfrustrowanym seksualnie degeneratem, który najbardziej kocha atakować dzieci? Jak udało się Giertychowi i Tuskowi ich wyhodować? Przecież to przeczy wszelkim prawom statystyki. Nawet wśród takiej zgrai chamstwa powinno być kilku normalnych- a nie ma...",586,196,16,0,"Jul 21, 2025 · 8:44 AM UTC",99,668,https://nitter.tiekoetter.com/DawidWildstein/status/1947216165341667681#m
2,DrwalX,Drwal,"Jestem prosty chłop,dużo w życiu widziałem i przeszedłem. Nawrocki koło chuja mi lata ale niektórym ta nienawisc do PiSu rozum odebrała. Odpierdolcie sie kurwa od dzieci w tej swojej chorej nienawiści! Poszedł ban. Zero tolerancji dla takich zjebów.",1927,68,98,3,"Jul 20, 2025 · 7:58 PM UTC",38,249,https://nitter.tiekoetter.com/DrwalX/status/1947023349965521144#m
3,AnnaKseniaELO,Ania - kocham życie.,"A co to się stało, że rudy, niemiecki pachoł milczy od 17 lipca? Knuje? Czeka na instrukcje z Berlina? Ma biegunkę bo zbliża się 6 sierpnia i Prezydent Karol Nawrocki ?",45,20,13,0,"Jul 21, 2025 · 1:02 PM UTC",31,168,https://nitter.tiekoetter.com/AnnaKseniaELO/status/1947281049936949721#m
4,Nawrocki25,#Nawrocki2025,"🇵🇱 Karol Nawrocki w mediach! ⏰ Już dziś o 18:15 Prezydent Elekt w programie “Rozmowy Niedokończone” na antenie @TV_Trwam i @RadioMaryja . 🔥 Bądźcie z nami – porozmawiajmy o Polsce, przyszłości i wartościach, które nas łączą!",306,140,34,3,"Jul 21, 2025 · 10:23 AM UTC",36,224,https://nitter.tiekoetter.com/Nawrocki25/status/1947241128757010736#m
5,Forest1559255,Forest Gump,Nawrocki otrzymał o 5% wiecej glosów niż faktycznie bylo przeliczane.!!!!! Nagła publikacja i sraczka.,4884,1240,177,27,"Jul 19, 2025 · 9:48 PM UTC",14,102,https://nitter.tiekoetter.com/Forest1559255/status/1946688678346326445#m
6,johnsmiths74,Rambo 2,"To jest niesamowita historia, tym bardziej teraz jak Karol Nawrocki został prezydentem RP. Jako młody student historii, sprzątał syf na Westerplatte, jakieś puszki zbierał, kiepy i tłumaczył ""ziomalom"", którzy tam imprezowali czym jest to miejsce. Kodym o tym opowiadał...",2102,427,19,4,"Jul 19, 2025 · 8:03 PM UTC",39,272,https://nitter.tiekoetter.com/johnsmiths74/status/1946662165303165335#m
7,Tysol,Tygodnik Solidarność,„Ostatnie szlify nowej kancelarii”. Na kogo stawia Karol Nawrocki tysol.pl/a143948-ostatnie-sz…,5,4,0,0,"Jul 21, 2025 · 7:55 AM UTC",10,95,https://nitter.tiekoetter.com/Tysol/status/1947203754203197785#m
8,ANNAdust107,ANNA,Tylko 15 dni !! Tylko tyle i Karol Nawrocki zostanie Prezydentem naszej pięknej Polski🤗🇵🇱🇵🇱 To będzie Wielka Chwila ! Czekam na nią z niecierpliwością 🇵🇱,39,8,1,1,"Jul 21, 2025 · 7:00 AM UTC",25,153,https://nitter.tiekoetter.com/ANNAdust107/status/1947189985209151938#m
9,wroblewski_m,Michał Wróblewski,"Wspólny przemarsz z ludźmi z Placu Piłsudskiego do Pałacu, a po zaprzysiężeniu - wyjazd w Polskę i ogłaszanie inicjatyw ustawodawczych przed wyborcami. Taki plan na początek prezydentury ma Karol Nawrocki. @wirtualnapolska wiadomosci.wp.pl/terenowy-pr…",25,5,2,1,"Jul 21, 2025 · 12:55 PM UTC",32,252,https://nitter.tiekoetter.com/wroblewski_m/status/1947279379991572886#m
10,Maciejcwks,Maciej,Oby Nawrocki był zdrowy. O resztę jestem spokojny.,1,0,1,0,"Jul 21, 2025 · 1:57 PM UTC",8,50,https://nitter.tiekoetter.com/Maciejcwks/status/1947294761632604340#m
