id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Tomasz5ek,"Najbardziej oślizgły z antypolskich propagandzistów Kremla, Witalij Tretiakow, chwali nas, że wybraliśmy @NawrockiKn na prezydenta. I robi to sprytnie, bo kłamie o rzekomej ""rusofobii"" Nawrockiego. Ale dodaje, że rusofobia nie jest ważna. Ważne, że Nawrocki nienawidzi Ukraińców.",0,33,0,33,"Jun 3, 2025 · 3:40 PM UTC",279,37,
2,ARosenPL,"Pomyślcie, że temu przygłupowi, który teraz zagłosował na Nawrockiego, bo mu Nawrocki podpisał postulaty Mentzena, kiedyś życie uratował sprzęt zakupiony przez WOŚP, za który wy zapłaciliście. Miłego myślenia.",0,29,24,53,"Jun 3, 2025 · 1:28 PM UTC",209,28,
3,kurwita,kurwaaaaaa gay Rafal Trzaskowski ! Karol Nawrocki PiS#Wybory2025 #WyboryPrezydenckie2025 #Nawrocki2025 #Trzaskowski2025 #Wybory # #2025,2,103,13,118,"Jun 2, 2025 · 7:23 AM UTC",135,14,
4,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,102,3457,337,3896,"Jun 3, 2025 · 11:57 AM UTC",162,24,
5,SzmaragdowyL,"Panie Premierze Czy Pan wie ilu Polaków nie doczekało rozliczeń złodziei przez te 1,5 roku?!! Okradziono Nas ze 100 miliardów złotych!!! Ile wróciło do Naszego budżetu?!! Ilu z Nas nie doczeka prawa, sprawiedliwości i godnej Rzeczypospolitej? mjr rez. pil. Arkadiusz SZCZĘSNY",0,25,12,37,"Jun 3, 2025 · 7:53 AM UTC",275,41,
6,AndreGA_Pe,O patriota Karol Nawrocki é o novo presidente da Polônia. A Polônia está salva.,16,767,36,819,"Jun 2, 2025 · 9:15 AM UTC",79,14,
7,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,492,8167,3292,11951,"Jun 2, 2025 · 5:04 PM UTC",274,43,
8,skrupulatny,"Długo nie potrafiłem sobie uświadomić, dlaczego tak bardzo przekonujące są zapewnienia pisowców, że Nawrocki będzie łączył Polaków i zakończy podziały jako kandydat obywatelski. I właśnie to sobie uświadomiłem, Dlatego:",0,48,10,58,"Jun 3, 2025 · 12:58 PM UTC",219,29,
9,SamselMarcin,Czy ty @mwojcik_ ćpasz to samo co alfons Nawrocki? Ty to sobie możesz najwyżej tabletki na ciśnienie brać. To ludzie wybrali większość parlamentarną i ten rząd ma jeszcze 2 lata rządzenia. Wiec ... w tył zwrot i spie... PiSowki sługusie.,0,1,0,1,"Jun 3, 2025 · 3:49 PM UTC",237,40,
10,geopolityka2018,"Przeanalizowałem wszystkie dane z wyników ogólnopolskich: Gmina Włocławek miała identyczne wyniki: Nawrocki 50,89%, Trzaskowski 49,11%, co czyni ją jedyną gminą z dokładnie takim samym rezultatem jak ogólnopolski! #Włocławek #Wybory2025 @LukasPawlowski",0,0,0,0,"Jun 3, 2025 · 3:52 PM UTC",252,30,
11,PremiumPPV,Karol Nawrocki Prezydentem Polski @PremiumPPV 9s Monika Raczynska - Weitzel @monikaweitzel1 6h Dlaczego na karcie do głosowania Nawrocki był 1 ?,0,0,0,0,"Jun 3, 2025 · 3:52 PM UTC",144,21,
12,NOELreports,"Newly elected Polish President Nawrocki responded to President Zelensky's congratulations, expressing hope to continue partnership with Ukraine based on ""mutual respect and understanding"" and to address ""long-standing historical issues."" ""Poland has been Ukraine’s staunchest ally against Russian aggression — no nation understands the threat better. I hope we’ll keep working together for our common good, resolving the past and building a secure future,"" Nawrocki stated.",0,7,0,7,"Jun 3, 2025 · 3:47 PM UTC",473,65,
13,JimFergusonUK,"BREAKING: President Nawrocki: “In my Poland, we don’t build migrant integration centres — we build deportation centres for those who threaten our nation.” Poland has chosen strength. Poland is in safe hands. @NawrockiKn",40,1348,92,1480,"Jun 2, 2025 · 5:17 PM UTC",219,33,
14,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",452,12577,962,13991,"Jun 2, 2025 · 5:05 PM UTC",192,30,
