id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,_AngerGods,#TeamKasia 🤍,0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",12,2,
2,sw_slawomir,"Nawrocki od razu będzie miał wsparcie Konfederacji. Pod nich był „szyty”. Jestem pewien , że za 5 lat będzie kandydatem obywatelskim wspieranym przez Konfę. Od 6 sierpnia Kaczyński moze śnić o smyczy . Nawrocki będzie tylko wspoldzialal z PiSem w temacie blokowania Tuska , ale opierając się o Konfe . To absolutnie nie oznacza nic dobrego dla demokratów.",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",355,58,
3,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",412,11560,883,12855,"Jun 2, 2025 · 5:05 PM UTC",192,30,
4,CilComLFC,BREAKING: EU chief Ursula von der Leyen is reportedly “panicking” after Poland’s Presidential Election was won by right-wing nationalist candidate Karol Nawrocki. She considers his victory to be a “threat” to the stability of the European Union. Sounds like good news to me!,439,7343,2929,10711,"Jun 2, 2025 · 5:04 PM UTC",274,43,
5,DudekPL4,"W zakładzie psychiatrycznym, dowiedzieli się że wygrał Karol Nawrocki 🤣",8,70,104,182,"Jun 2, 2025 · 10:04 PM UTC",71,10,
6,MiskoMarek,"Cała chujowa za przeproszeniem twarz Kaczyńskiego na jednym obrazku. CAŁE JEGO ŻYCIE to partia, a nie Polska. Prezydent Nawrocki ma szansę zostać mężem stanu. Oby tego nie zmarnował.",0,18,14,32,"Jun 3, 2025 · 10:48 AM UTC",182,28,
7,AktualneFakty,"Ministerstwo Spraw Zagranicznych będzie interweniować w sprawie publikacji izraelskiego portalu ""The Times of Israel"" - dowiedział się dziennikarz RMF FM Igor Skrzypek. W artykule opublikowanym w sieci Karol Nawrocki został określony mianem ""rewizjonisty Holokaustu"".",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",267,34,
8,Georg_Pazderski,"Der künftige Präsident Polens Karol Nawrocki: „Helfen wir anderen, aber kümmern wir uns zuerst um unsere eigenen Bürger. (…) Wenn ich Präsident werde, werde ich mich von einem einfachen, aber wichtigen Grundsatz leiten lassen: POLEN ZUERST .“ Wann haben Sie zuletzt ein solch klares Bekenntnis zum eigenen Volk und Land eines deutschen Politikers gehört",20,611,253,884,"Jun 2, 2025 · 2:46 PM UTC",353,54,
9,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,0,22,5,27,"Jun 3, 2025 · 11:57 AM UTC",162,24,
10,lkwarzecha,"Pan prezydent Duda uważa, że pan Nawrocki może zmienić zdanie w sprawie członkostwa Ukrainy w NATO, gdy zostanie prezydentem. Pomijając proukraińską fiksację pana Dudy, taka zmiana byłaby ostentacyjnym wypięciem się na ok. 3,5 mln wyborców z prawej strony, którzy dali panu @NawrockiKn kredyt zaufania. businessinsider.com.pl/wiado…",3,74,111,188,"Jun 3, 2025 · 7:44 AM UTC",332,45,
11,gaytimes,"Poland is following Europe’s disturbing swing to the right after the appointment of the nationalist, right-wing historian, who has some alarming views on LGBTQIA+ people. Here, we unpack what Karol Nawrocki’s presidency means for queer people in Poland buff.ly/Ob8hAIj",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",268,39,
12,Violett85513347,"Teraz to gdańszczanin, a wcześniej? Nawet nie będę powtarzać. Pamiętam tylko, jak wszyscy się cieszyli, że Karol Nawrocki dostał w Gdańsku mniej głosów w I turze niż Trzaskowski.",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",178,28,
13,Load newest,Brak treści,0,0,0,0,,11,2,
14,Kobyszcze1,"Panowie stańcie z boku , popatrzcie co zrobi profesor Czarnek i prezydent elekt Karol Nawrocki....",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",98,15,
15,Inevitablewest,"Polish President Nawrocki: ""My Poland is a Poland where instead of migrant integration centres, there’s deportation centres for those who want to destroy our country!"" Poland is in safe hands.",412,11561,883,12856,"Jun 2, 2025 · 5:05 PM UTC",192,30,
16,GiertychRoman,"Problemem nie jest to, że Nawrocki będzie pisowców ułaskawiał. Bo może to robić dopiero po prawomocnym skazaniu. A te przy obecnym tempie wymiaru sprawiedliwości zapadną już po zakończeniu drugiej kadencji Prezydenta Tuska lub Sikorskiego. Czyli ok. za 15 lat.",26,225,874,1125,"Jun 2, 2025 · 8:45 PM UTC",260,39,
17,cerox2009,Nie pokazuj wsi. W miastach Nawrocki wygrał w jedynym Rzeszowie. Mniejsza o to czekam na niższą cenę prądu o 33%.,0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",113,20,
18,Georg_Pazderski,"Der polnische Präsident Karol Nawrocki gibt die Richtung vor: „Mein Polen ist ein Polen ohne illegale Einwanderer. Es ist ein Polen, in dem es statt Integrationszentren Abschiebezentren für diejenigen gibt, die unsere Sicherheit zerstören wollen.“",19,703,126,848,"Jun 2, 2025 · 7:56 PM UTC",247,35,
19,meioindep,"MUNDO: Aliado de Trump, direitista Karol Nawrocki é eleito presidente da Polônia",0,92,3,95,"Jun 3, 2025 · 12:40 AM UTC",80,12,
20,_KinChm_,"Opowiem wam bajkę: bohaterski Nawrocki planował być niezależny i nawet Kaczorowi odmówił, ale podłe tuskarze hejtowały mu córkę, więc z uśmiechniętą koalicją nie mógł się dogadać, Nie chciał ale musiał iść z Kaczorem pod rękę, atakujo Polaków, nawet dziecko! I 51% uwierzy.",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",273,42,
21,MazaleyratRemi,"ALERTE Le nouveau président de la Pologne Karol Nawrocki annonce un référendum pour que la Pologne quitte l'Union européenne ! En cas de vote majoritairement OUI, la Pologne serait le deuxième pays à quitter l'UE après le Royaume-Uni en 2020 suite d'un référendum en 2016.",1,4,4,9,"Jun 3, 2025 · 10:56 AM UTC",272,45,
22,elisamariastel1,IL NAZIONALISTA POLACCO KAROL NAWROCKI HA VINTO LE ELEZIONI Nawrocki ha vinto le elezioni presidenziali polacche dopo lo scrutinio del 100% delle schede. Lo ha riferito la televisione riferendosi alla commissione elettorale. Nawrocki fortemente legato alla sovranità nazionale e contrario alla federalizzazione dell’UE. L'UE getterà alle ortiche anche queste elezioni ?,0,78,28,106,"Jun 2, 2025 · 3:39 AM UTC",369,51,
23,MarionVanR,"Le président de la Pologne Karol Nawrocki a de trumpiste une admiration pour le président et l’indifférence à la vérité des faits. “Historien”, il a inventé un auteur pour tresser ses propres louanges et a colorié de nationalisme le musée de la 2e guerre mondiale de Gdansk.",1,34,3,38,"Jun 3, 2025 · 9:37 AM UTC",274,47,
24,Inevitablewest,BREAKING: New Polish President Karol Nawrocki demands Ursula & the EU respects European nations sovereignty and Christian values Poland is leading from the front.,0,24,5,29,"Jun 3, 2025 · 11:57 AM UTC",162,24,
25,RobertoAvventu2,"ULTIMA ORA: La presidente della Commissione europea Ursula von der Leyen sarebbe ""nel panico"" dopo la vittoria alle elezioni presidenziali in Polonia del candidato nazionalista di destra Karol Nawrocki. Considera la sua vittoria una ""minaccia"" alla stabilità dell'Unione europea. A me sembra una buona notizia!",8,153,196,357,"Jun 2, 2025 · 6:50 PM UTC",310,45,
26,_Afraniusz,"Mam pomysł. Chciałbym aby powstał DPS Działacze Przeciwko Sutenerowi Chodzilibyśmy wszędzie, gdzie się będzie pojawiał Nawrocki z takimi hasłami i transparentami. Niech nas pozwie w końcu. I niech sąd rozstrzygnie, czy to prawda. Ktoś by się zapisał?",3,79,69,151,"Jun 3, 2025 · 9:54 AM UTC",250,37,
27,CNEWS,"«Félicitations à la Pologne, vous avez choisi un gagnant !» : Donald Trump salue la victoire du nationaliste Karol Nawrocki à la présidence du pays cnews.fr/monde/2025-06-03/fe…",5,105,8,118,"Jun 3, 2025 · 7:16 AM UTC",177,26,
28,DGussefeld98333,"Nawrocki ? wie fand er noch mal Frau Steinbach ? iund überhaupt, uns alle. ? Verzichtbar.",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",89,16,
29,Strykasia,"Nawrocki as the president of the IPN did nothing. He didn't even lead to the exhumation in Volhynia! And as the president he threw out 1/3 of the IPN team to make room for PiS buddies 🤬 tokfm.pl/Tokfm/7,189654,3176…",0,0,0,0,"Jun 3, 2025 · 12:00 PM UTC",215,38,
30,RobertoAvventu2,"ULTIMA ORA: La presidente della Commissione europea Ursula von der Leyen sarebbe ""nel panico"" dopo la vittoria alle elezioni presidenziali in Polonia del candidato nazionalista di destra Karol Nawrocki. Considera la sua vittoria una ""minaccia"" alla stabilità dell'Unione europea. A me sembra una buona notizia!",8,154,196,358,"Jun 2, 2025 · 6:50 PM UTC",310,45,
