id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,HubnerrMax,Max Hübner,"Prezydent elekt Karol Nawrocki poinformował, że za sprawy Polonii w jego Kancelarii odpowiadać będzie Agnieszka Jędrzak - dotychczasowa Dyrektor Biura Współpracy Międzynarodowej IPN. Cieszy jak cholera - wykonała tytaniczną pracę na rzecz pamięci o Polsce na świecie. Cudownie.",2903,709,23,4,"Jul 21, 2025 · 4:52 PM UTC",38,277,https://nitter.net/HubnerrMax/status/1947339011900534798#m
2,CzcigodnaPolka,mgr Czcigodna Polka,"Po ogłoszeniu rzekomej wygranej Nawrockiego - kibola i suterena powiązanego ze światem przestępczym, w Polsce nagle pojawiły się grupy agresywnych kiboli i zielone ludziki Putina. To nie jest przypadek. Ile głosów naprawdę zdobył Nawrocki w wyborach?",1642,391,6,13,"Jul 20, 2025 · 7:00 PM UTC",36,250,https://nitter.net/CzcigodnaPolka/status/1947008636397793431#m
3,Stryj777,Stryj,odpowiedź jest prosta: Karol Nawrocki dziękuje można sie rozejść,0,0,0,0,"Jul 22, 2025 · 10:42 AM UTC",9,64,https://nitter.net/Stryj777/status/1947608243158856095#m
4,KarolPrillwitz,karol prillwitz,Nawrocki,0,0,0,0,"Jul 22, 2025 · 10:41 AM UTC",1,8,https://nitter.net/KarolPrillwitz/status/1947607997204615392#m
5,HubnerrMax,Max Hübner,Prezydent elekt Karol Nawrocki potwierdził. Szefem jego Kancelarii zostanie Zbigniew Bogucki. Zastępcą Szefa Kancelarii natomiast Adam Andruszkiewicz. Let's go!,1135,232,111,4,"Jul 21, 2025 · 4:41 PM UTC",19,160,https://nitter.net/HubnerrMax/status/1947336051405570306#m
6,WojSadurski,Wojciech Sadurski,"Oficjalne stanowiska o wynikach wyborów (w luźnej parafrazie): „PKW: Nawrocki chyba dostał trochę więcej głosów niż Trzaskowski, ale trudno powiedzieć ile, bo były przekręty. Niech się wypowie Sąd Najwyższy. Izba Przebierańców: Nawrocki wygrał, wygrał, wygrał! Hura! Marszałek Hołownia: Czy są głosy sprzeciwu? Nie widzę, nie słyszę”. Kurtyna.",3022,852,206,35,"Jul 17, 2025 · 8:40 PM UTC",47,343,https://nitter.net/WojSadurski/status/1945946721445728391#m
7,TomaszCK1,Andrij Kornhauser🕎🧎‍♂️,"""Nawrocki to nie Duda!"" ""Nawrocki urwie się Kaczyńskiemu ze smyczy!"" Duma. Serce rośnie 🫶",391,63,64,2,"Jul 21, 2025 · 7:56 PM UTC",14,89,https://nitter.net/TomaszCK1/status/1947385268878610456#m
8,EwaZamojska,Ewa,"Nawrocki:"" Jestem zaniepokojony tym, co dzieje się za Tuska"". Patrzcie go, zbawca narodu się znalazł. A gdzie pan byłeś za rządów PiS, gdy łamano praworządność, deptano demokrację, izolowano Polskę, łamano prawa człowieka i bezczelnie okradano naród? Aaa robiłeś pan karierę...",976,161,92,0,"Jul 22, 2025 · 5:33 AM UTC",40,277,https://nitter.net/EwaZamojska/status/1947530521065754736#m
9,MB06902598,Helutka II konto -sierpień 2024,"To teraz zadanie matematyczne. Procentowo,jakim stosunkiem ""wygrał""Nawrocki @szymon_holownia Jeśli 1/3 fałszerstw nie ma znaczenia,to proponuję ,o 1/3 zmniejszyć Panu uposażenie,urlop,diety poselskie. O 1/3 dołożyć wiek emerytalny, kredyt który Pan spłaca. Jesteśmy umówieni?",46,24,2,0,"Jul 22, 2025 · 9:52 AM UTC",32,275,https://nitter.net/MB06902598/status/1947595597059658012#m
10,Forest1559255,Forest Gump,Nie męcz konia. Nawrocki powiększał przewagę.,0,0,0,0,"Jul 22, 2025 · 10:40 AM UTC",6,45,https://nitter.net/Forest1559255/status/1947607727745994840#m
