id,username,fullname,text,likes,retweets,replies,quotes,date,word_count,text_length,link
1,OKP_oficjalny,PopieramyKarolaNawrockiego🇵🇱,"🎥 📢✌️""Mamy zakodowane w sercu trzy słowa: Bóg, honor, Ojczyzna. To jest nasza siła. I to jest to też jego siła. Karol Nawrocki wierzy w to, że razem z milionami Polaków uczyni Polskę wielką i wspaniałą, która będzie wzorem dla innych narodów. Zaprzysiężenie będzie dniem niezwykłej demonstracji przywiązania do Ojczyzny. Ten Prezydent jest wielką nadzieją na przemianę rzeczywistości, której nie akceptujemy. Że będzie miłość, a nie nienawiść. Tego życzę Panu Prezydentowi z całego serca"" - Halina Łabonarska z Obywatelskiego Komitetu Poparcia zachęca do udziału w uroczystościach 6 sierpnia w Warszawie. 🇵🇱🇵🇱🇵🇱",392,153,13,8,"Jul 21, 2025 · 5:48 PM UTC",91,611,https://nitter.net/OKP_oficjalny/status/1947353002353799178#m
2,Forest1559255,Forest Gump,Nawrocki otrzymał o 5% wiecej glosów niż faktycznie bylo przeliczane.!!!!! Nagła publikacja i sraczka.,5155,1299,185,27,"Jul 19, 2025 · 9:48 PM UTC",14,102,https://nitter.net/Forest1559255/status/1946688678346326445#m
3,HubnerrMax,Max Hübner,"Prezydent elekt Karol Nawrocki poinformował, że za sprawy Polonii w jego Kancelarii odpowiadać będzie Agnieszka Jędrzak - dotychczasowa Dyrektor Biura Współpracy Międzynarodowej IPN. Cieszy jak cholera - wykonała tytaniczną pracę na rzecz pamięci o Polsce na świecie. Cudownie.",1563,403,15,2,"Jul 21, 2025 · 4:52 PM UTC",38,277,https://nitter.net/HubnerrMax/status/1947339011900534798#m
4,ANNAdust107,ANNA,Tylko 15 dni !! Tylko tyle i Karol Nawrocki zostanie Prezydentem naszej pięknej Polski🤗🇵🇱🇵🇱 To będzie Wielka Chwila ! Czekam na nią z niecierpliwością 🇵🇱,307,70,24,1,"Jul 21, 2025 · 7:00 AM UTC",25,153,https://nitter.net/ANNAdust107/status/1947189985209151938#m
5,MyNameMadeYouSM,Smiley *SCRIPT WRITER*,"Dostał polecenie od Jarka. ""Teraz możesz skazywać. Nawet im się przyda posiedzieć trochę. Nawrocki ułaskawi i będzie cacy""",0,0,0,0,"Jul 21, 2025 · 8:33 PM UTC",18,122,https://nitter.net/MyNameMadeYouSM/status/1947394603377954855#m
6,gfkot,Grzegorz Kot,Nawrocki go wybrał do kancelarii. Pasuje?,488,57,123,5,"Jul 21, 2025 · 5:47 PM UTC",6,41,https://nitter.net/gfkot/status/1947352755930337463#m
7,KarolPopieramy,Karol Nawrocki - popieramy,"🚨 Z ostatniej chwili 🚨 Prezydent elekt Karol Nawrocki właśnie potwierdził, że szefem jego Kancelarii będzie @BoguckiZbigniew , a wiceszefem będzie @Andruszkiewicz1 👏😎🇵🇱 Świetny wybór, będzie się działo 😎💪",299,81,21,2,"Jul 21, 2025 · 4:26 PM UTC",29,204,https://nitter.net/KarolPopieramy/status/1947332239093633266#m
8,TomaszCK1,Andrij Kornhauser🕎🧎‍♂️,"""Nawrocki to nie Duda!"" ""Nawrocki urwie się Kaczyńskiemu ze smyczy!"" Duma. Serce rośnie 🫶",98,10,18,1,"Jul 21, 2025 · 7:56 PM UTC",14,89,https://nitter.net/TomaszCK1/status/1947385268878610456#m
9,Gameover1920,Mateusz,"Karol Nawrocki- Prezydent. Zbigniew Bogucki- Szef Kancelarii Prezydenta. Paweł Szefernaker- Szef Gabinetu Prezydenta. Sławomir Cenckiewicz- Szef Biura Bezpieczeństwa Narodowego. Ekipa, która obali rząd Donalda Tuska! 👇",424,140,30,2,"Jul 21, 2025 · 4:47 PM UTC",26,218,https://nitter.net/Gameover1920/status/1947337728992973002#m
10,Zosia99363505,Pablita Moralita / Zosia SnaW🇵🇱#Trzaskowski2025,"Ja, pamiętam jeden wywiad PDT z Red. Kolendą w FpF. Na pytanie pani Red.""A co pan zrobi jak wygra Nawrocki"" PDT, odpowiedział ""Nie po to wróciłem do Polskiej Polityki, żeby on wygrał""! @donaldtusk Panie Premierze? Ja i ponad 10 Milionów Polaków, chce aby choć #PrzeliczyćGłosy 🇵🇱",1458,460,67,7,"Jul 10, 2025 · 2:17 PM UTC",46,279,https://nitter.net/Zosia99363505/status/1943313529576001926#m
11,johnsmiths74,Rambo 2,"To jest niesamowita historia, tym bardziej teraz jak Karol Nawrocki został prezydentem RP. Jako młody student historii, sprzątał syf na Westerplatte, jakieś puszki zbierał, kiepy i tłumaczył ""ziomalom"", którzy tam imprezowali czym jest to miejsce. Kodym o tym opowiadał...",2400,492,21,4,"Jul 19, 2025 · 8:03 PM UTC",39,272,https://nitter.net/johnsmiths74/status/1946662165303165335#m
12,meg_of_wickham,Paula,"Ja również, jako wyborca KO i RT, chciałabym uzyskać odpowiedź iloma głosami wygrał Nawrocki, dlaczego mimo ewidentnych wskazań na nieprawidłowości głosy nie zostały przeliczone ponownie i dlaczego cała KO ignoruje głosy wyborców którzy od dawna apelują o przeliczenie głosów.",3,1,0,0,"Jul 21, 2025 · 8:20 PM UTC",39,276,https://nitter.net/meg_of_wickham/status/1947391178296742142#m
13,Beata_Andre,Beata André,"Nawrocki ogłosił dziś, że szefem Kancelarii Prezydenta będzie Zbigniew Bogucki, a jego zastępcą Adam Adruszkiewicz. Ogłoszone gdzie? W TV Trwam 🤦‍♀️ Kancelaria Prezydenta RP zarządzana z toruńskiego studia 🤦‍♀️",135,13,105,2,"Jul 21, 2025 · 5:08 PM UTC",29,210,https://nitter.net/Beata_Andre/status/1947342846555492615#m
14,Peter90Marco,Piotr Lesiak,"Panie, gdzie byliście jak rozumy rozdawali? Przeliczyli wam głosy, to wy dalej jak te osły brniecie w swoje przekonanie. To jest chore. Nawrocki wygrał i zostanie za 2 tygodnie Prezydentem RP. Nie jesteście pępkiem świata żeby koło waszego jazgotu miało się wszystko kręcić. EOT.",0,0,0,0,"Jul 21, 2025 · 8:32 PM UTC",44,279,https://nitter.net/Peter90Marco/status/1947394397538079143#m
15,PolsatNewsPL,PolsatNews.pl,"""Odmawiam udziału w tym gorszącym dla mnie widowisku"" - przekazał Lech Wałęsa. Były prezydent opublikował zdjęcie zaproszenia na Zgromadzenie Narodowe, podczas którego prezydent elekt Karol Nawrocki złoży przysięgę. polsatnews.pl/wiadomosc/2025…",885,122,661,31,"Jul 21, 2025 · 10:10 AM UTC",29,245,https://nitter.net/PolsatNewsPL/status/1947237784709656709#m
16,HubnerrMax,Max Hübner,Prezydent elekt Karol Nawrocki potwierdził. Szefem jego Kancelarii zostanie Zbigniew Bogucki. Zastępcą Szefa Kancelarii natomiast Adam Andruszkiewicz. Let's go!,795,157,69,3,"Jul 21, 2025 · 4:41 PM UTC",19,160,https://nitter.net/HubnerrMax/status/1947336051405570306#m
