id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Poznaniak_89,Co mnie gościu interesuję Trzaskowski i Nawrocki? Ale musisz mieć łeb wyprany..,0,0,0,0,"Jun 4, 2025 · 8:13 AM UTC",79,12,
2,Micha64861221,"Wow. Widzę, że wyborcy ""strony demokratycznej"" gotowi są do prawdziwych poświęceń.",0,0,0,0,"Jun 4, 2025 · 8:13 AM UTC",82,11,
3,Zosia99363505,"Na wschód Polski, nie zapraszam, tam tylko Bagno - jedno wielkie🤢 Żadnych gości w Białowieży, Suścu, Białymstoku i na Podlasiu! Nie warto odpoczywać, wśród upadłych Moralnie Polaków, wybierających Alfonsa i Ćpuna!",0,7,1,8,"Jun 4, 2025 · 7:20 AM UTC",213,31,
4,WalterVonKurtz,Prosimy o to samo w Warszawie i podanie się do dymisji @trzaskowski_,0,0,0,0,"Jun 4, 2025 · 8:13 AM UTC",68,12,
5,ilonam007,rozśmieszyło 🥳,0,0,0,0,"Jun 4, 2025 · 8:13 AM UTC",14,2,
6,JanMari85429746,"Zakład Karny we Wronkach frekwencja 68,42 % Wyniki Rafał Trzaskowski – 93,01 % Karol Nawrocki – 6,99 % w Rawiczu frekwencja 87,16 % Rafał Trzaskowski – 87,32 % Karol Nawrocki – 12,68 % w Sztumie frekwencja 86,72 % Rafał Trzaskowski – 94,72 % Karol Nawrocki – 5,28 %",0,0,0,0,"Jun 4, 2025 · 8:12 AM UTC",265,48,
7,K_Stanowski,Czy spółka w likwidacji powinna podpisywać 10-letnie umowy?,0,91,72,163,"Jun 4, 2025 · 7:58 AM UTC",59,8,
8,WojciechMucha,"Raport OBWE dotyczący afery Trzask-Nask wskazuje oprócz Akcji Demokracji min. firmę Fat Frogs media, jako tę, która opłaciła reklamy w Google na łączną kwotę 131 000 PLN. Całkiem przypadkiem na Youtube można poznać partnerów firmy Fat Frogs Media, min: Trzaskowski, Tusk, Sikorski, Giertych, Tomasz Lis, Dominika Wielowieyska, Michał Szczerba, Aleksandra Gajewska. Do tego: Miasto Warszawa, Wolne Sądy, Iustitia, PO, KO. Sporo jak na ""niewielką, ale skuteczną markę w nowych mediach"". 1/2",54,1952,74,2080,"Jun 3, 2025 · 7:05 PM UTC",488,71,
9,Szarotka8,"Michasiu od 21 lipca 1955 roku stoi ,,dar Stalina ""czyli PeKiN. Najlepiej zacząć od wysadzenia tego czerwonego burdelu -panimajesz?????",0,0,0,0,"Jun 4, 2025 · 8:12 AM UTC",135,19,
10,stopkorkom,"Panie @Dariusz_Jonski , możecie zacząć już dziś - wystarczy że @trzaskowski_ usunie Strefę Czystego Transportu #SCT z Warszawy a @donaldtusk wywali z ustawy o elektromobilnosci i paliwach alternatywnych, i #MamyTo #NieDlaSCT",0,4,2,6,"Jun 3, 2025 · 9:30 PM UTC",224,31,
11,bozenalisowska,"Dziękuję @trzaskowski_ za pracę i poświęcenie w kampanii prezydenckiej. Dziękuję wszystkim, którzy wspierali Rafała Zgromadzone zaufanie w postaci 10 237 286 głosów powinno być zagospodarowane na rzecz Polek i Polaków marzących o uczciwej, demokratycznej Polsce",0,3,3,6,"Jun 4, 2025 · 7:09 AM UTC",261,35,
12,WojtasWro09,"Nie podoba mi się działanie Bosaka. Bardzo go szanuję, jest mega inteligentny. Ale przed 1 turą oczywiście zaznaczając, że kandydatem jest Mentzen, mówił wszyscy byle nie trzaskowski. Po ogłoszeniu wyników z 1 tury, od razu dal poparcie Nawrockiemu...",0,0,0,0,"Jun 4, 2025 · 8:12 AM UTC",251,38,
13,jan04345527,"Tusk nazwał sutenera Alfonsem. Zwróćcie uwagę, jak hejt uderza w Tuska. Potem sprowokowali atak na córkę Alfonsa. Myślicie, że to przypadki? Nie, kurwa, to zorganizowana grupa w PiS, która już prowadzi kampanię pod wybory 2027. My dalej dlaczego Trzaskowski przegrał. No dlatego!",5,328,102,435,"Jun 3, 2025 · 8:14 PM UTC",279,42,
14,PawelSokala,"""Ci ludzie są tak zadufani w sobie, że w skutek błędu statystycznego Rafał Trzaskowski ogłosił swoją żonę pierwszą damą, a siebie prezydentem, a potem wszyscy w jakimś amoku zaczęli skakać na własnym pogrzebie"" Bonus: o swingujących powiatach i małych w Nitrasa...",24,379,66,469,"Jun 4, 2025 · 3:41 AM UTC",264,41,
15,EwaKulma,"Kurwa, co włączę na jakiś kanał informacyjny, jeden pasek. ""Dlaczego Trzaskowski przegrał"" Ja wam powiem dlaczego. Przez Hołownię, Biejat, Zandberga i wasze dziennikarskie pierdolenie jak to poległ w Końskich... Wracam na Netflix.",2,229,21,252,"Jun 2, 2025 · 7:46 PM UTC",230,32,
16,GryfPawe,"Wie Pan dlaczego @trzaskowski_ przegrał wybory? Przez Was bo cała wieś głosowała na K. Nawrockiego. Zamiast jeździć po wsiach i tłumaczyć ludziom, że są okłamywani przez PiS to wy się zajmowaliście okupacją etatów w SSP. Wieś ma was w d.... I to od lat.",0,1,0,1,"Jun 4, 2025 · 7:42 AM UTC",253,44,
17,KoneserUnii,PILNE Kamraci zatrzymani przez Policję Kolejne minus 3% dla K15X,1,28,14,43,"Jun 4, 2025 · 7:40 AM UTC",64,10,
18,Load newest,Brak treści,0,0,0,0,,11,2,
19,robberbanks,Podobno dzisiaj Trzaskowski ma być na otwarciu :),0,0,0,0,"Jun 4, 2025 · 8:12 AM UTC",49,8,
20,Axewonskiz,"PILNE Jak informuje portal niezalezna.pl - Rafał Trzaskowski został znaleziony martwy w swoim biurze w Warszawie. Najnowsze doniesienia twierdzą, że popełnił on samobójstwo spowodowane porażką w drugiej turze wyborów prezydenckich.",0,8,6,14,"Jun 4, 2025 · 7:17 AM UTC",231,30,
21,Kwietrak,Trzaskowski jest gangusem bo wspolpracowal z mafia reprywatyzacyjną? Nie wiedzialem ze mial zarzuty Bo przeciez nie moszesz mowic o Nawrockim skoro zawsze dostawał certyfikaty bezpieczenstwa i nie byl o nic oskarzony,0,0,0,0,"Jun 4, 2025 · 8:12 AM UTC",216,31,
22,PanTade61504651,Przecież to mowa nienawiści za którą trzaskowski chciał karać :) czym się obruszyłeś !? Ustawa o mowie nienawiści pozwoliłaby postawić zarzuty tej kobiecie . 🫢,0,0,0,0,"Jun 4, 2025 · 8:11 AM UTC",159,25,
23,Maksowskaa,"Nie wydaje mi się, że Sikorski więcej by zdziałał. Prawica miałaby natomiast więcej paliwa do kompromitowania go, bo materiału jest mnóstwo, a było by jeszcze więcej. Sikorski jest pełen buty, ma wysokie ego ale słabe nerwy. Łatwo go wyprowadzić z równowagi i sprowokować.",0,0,0,0,"Jun 4, 2025 · 8:11 AM UTC",272,43,
24,tadajewski,Marcin Straszewski retweeted Radek Tadajewski @tadajewski 16h Replying to @JohnCar91751012 @BartoszLewand20 @trzaskowski_ 2 7 15,0,7,2,9,"Jun 3, 2025 · 3:40 PM UTC",128,15,
25,WojciechMucha,"Raport OBWE dotyczący afery Trzask-Nask wskazuje oprócz Akcji Demokracji min. firmę Fat Frogs media, jako tę, która opłaciła reklamy w Google na łączną kwotę 131 000 PLN. Całkiem przypadkiem na Youtube można poznać partnerów firmy Fat Frogs Media, min: Trzaskowski, Tusk, Sikorski, Giertych, Tomasz Lis, Dominika Wielowieyska, Michał Szczerba, Aleksandra Gajewska. Do tego: Miasto Warszawa, Wolne Sądy, Iustitia, PO, KO. Sporo jak na ""niewielką, ale skuteczną markę w nowych mediach"". 1/2",54,1952,74,2080,"Jun 3, 2025 · 7:05 PM UTC",488,71,
26,WiolaPaprocka,"Przepraszam. Mieliśmy świetnego kandydata, uczciwego i dobrego człowieka, a nie dowieźliśmy. Dziękuję, bo mieliśmy od Was ogromne wsparcie. Jesteście wspaniałym teamem. Bądźcie z @trzaskowski_ on zrobił wszystko co mógł. Ja jeszcze raz przepraszam.",162,311,3413,3886,"Jun 3, 2025 · 7:41 AM UTC",248,33,
27,MarcinhoSE7EN,"Jazda kabrioletem panu nie sprzyja, wywiało zbyt wiele z głowy. Bełkot nie z tej ziemi, oderwanie od rzeczywistości - mission completed. Nadal nie rozumiecie, dlaczego Trzaskowski nie wygrał. I wincyj pogardy, wincyj.",0,7,3,10,"Jun 4, 2025 · 7:04 AM UTC",217,32,
28,EdoMarcin,"Niech Pani podziękuje samej sobie. Podobne grafiki mógł tylko półgłówek kolportować, nie szef sztabu wyborczego. Proszę uczyć się klasy od Pani Emilii Wierzbicki. Wasze środowisko jest już skończone, a z tym kandydatem, niech Pani nie rozśmiesza. Odejdźcie w niepamięć na zawsze.",3,154,22,179,"Jun 3, 2025 · 2:36 PM UTC",279,41,
29,TSC_77,"Zamordysto, nie jesteś od decydowania kto może chodzić po ulicach, a kto nie może, choć macie takie faszystowskie ciągoty. Wyniki wyborów w Poznaniu: 1. Trzaskowski 72,7 % 2. Alfons Nawrocki 27,3 % Przeprowadź się na pisowskie Podkarpacie zamordysto",0,0,1,1,"Jun 4, 2025 · 8:11 AM UTC",249,38,
30,bez_marynarki,"Codziennie dostajemy dowodowy jak część uczestników życia publicznego oderwana jest od rzeczywistości. Nawrocki 3 razy poszedł do rządowej TVP w likwidacji, a Trzaskowski nawet @K_Stanowski przyjął u siebie w domu bo do studia to ne-e. Poza tym Onet to raczej Gazeta Polska",0,6,2,8,"Jun 3, 2025 · 10:03 PM UTC",273,42,
31,kazef_,"Bolesław Prus Hrubieszów, miasto w woj. lubelskim: NAWROCKI Karol Tadeusz - 56,76 % TRZASKOWSKI Rafał Kazimierz - 43,24 %",0,16,1,17,"Jun 3, 2025 · 5:38 PM UTC",121,19,
32,magdazwarmii,"A ja mam takie pytanie. Jaką partią jest teraz PSL? Bo wieś oddaliście PIS-owi , miasto waszego kolejnego projektu- 3D nie kupiło. Kto jest waszym wyborcą? Podpowiem. Sami nie wiecie gdzie jesteście. Gdybyście nie hamowali związków partnerskich i praw kobiet, to Trzaskowski byłby dzisiaj prezydentem, a wy nie drżelibyście o stołki. Więc może niech pogada Pan z kolegą Sawickim, bo w perspektywie macie albo Kaczyńskiego, który pożre Was jako przekąskę i struktury w terenie też nie pomogą, albo koalicję, w której jesteście. JEŚLI pójdziecie po rozum do głowy.",1,24,6,31,"Jun 4, 2025 · 7:26 AM UTC",562,88,
33,krzysztofbosak,Styczeń 2025: „Ważne żeby wygrał ktokolwiek byle nie Trzaskowski”. No i się udało!,13,458,397,868,"Jun 2, 2025 · 8:04 AM UTC",82,13,
34,DariuszMatecki,Czekam na odpowiedź. @mmarcinkiewicz ile może trwać ustalanie ile czasu byłeś w pracy - w spółce podległej Trzaskowskiemu - podczas biegania w kampanii Trzaskowskiego?,0,8,1,9,"Jun 4, 2025 · 8:05 AM UTC",167,24,
35,krajanus,"Trzaskowskiego wybrała większość, w partii odbyły się prawybory między Sikorskim a Trzaskowski, wygrał Trzaskowski. Polecam czerpać informacje z różnych źródeł a nie tylko TV REPUBLIKA xd",0,0,0,0,"Jun 4, 2025 · 8:11 AM UTC",187,26,
