id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,magdazwarmii,"A ja mam takie pytanie. Jaką partią jest teraz PSL? Bo wieś oddaliście PIS-owi , miasto waszego kolejnego projektu- 3D nie kupiło. Kto jest waszym wyborcą? Podpowiem. Sami nie wiecie gdzie jesteście. Gdybyście nie hamowali związków partnerskich i praw kobiet, to Trzaskowski byłby dzisiaj prezydentem, a wy nie drżelibyście o stołki. Więc może niech pogada Pan z kolegą Sawickim, bo w perspektywie macie albo Kaczyńskiego, który pożre Was jako przekąskę i struktury w terenie też nie pomogą, albo koalicję, w której jesteście. JEŚLI pójdziecie po rozum do głowy.",1,58,9,68,"Jun 4, 2025 · 7:26 AM UTC",562,88,
2,nemtysx,"KO nie potrafi wyciągać wniosków. 5 lat temu Trzaskowski mógł przejąć stery w KO i zrobić nowe otwarcie. Taki rebranding jest dzisiaj potrzebny lewej stronie, bo Tusk jest skończony politycznie. Nawet w PiS rozumieli że zrobienie z Kaczyńskiego szeregowego posła da im przewagę.",0,0,0,0,"Jun 4, 2025 · 10:16 AM UTC",278,43,
3,EwaWiniara,"Czy @donaldtusk @trzaskowski_ o tym wiedzą? Pani @WiolaPaprocka , czy to prawda? Bo jeśli tak, to jest to szokujące.",2,47,19,68,"Jun 4, 2025 · 6:04 AM UTC",116,19,
4,T1981Jakub,Ale coś nie ma energi od ludzi obok 🤣🤣 uśmiechnij się Rafał zjedz Prince Polo 🤣🤣🤣,0,0,0,0,"Jun 4, 2025 · 10:16 AM UTC",81,16,
5,nowePSL,"Dziękujemy – jako @nowePSL – wszystkim wyborcom, którzy wzięli udział w wyborach prezydenckich. Wysoka frekwencja zawsze świadczy o odpowiedzialności obywateli za Polskę. Dziękuję 10 mln Polaków głosujących za @trzaskowski – kandydata, którego poparliśmy. To również odpowiedź na nasze wezwanie. @KosiniakKamysz Sejm",0,6,5,11,"Jun 4, 2025 · 9:16 AM UTC",316,41,
6,AdamKoscielak,"Czy on wie, że Trzaskowski przegrał przede wszystkim wśród młodych? xD",0,3,6,9,"Jun 4, 2025 · 9:52 AM UTC",70,11,
7,arturpl,Ta po lewej co ją odepchnął Rafał to?... ha ha ha @kobietynawybory @trzaskowski_ @NawrockiKn,0,0,0,0,"Jun 4, 2025 · 10:16 AM UTC",92,14,
8,Piras2406,Gosia! Gosia! Gosia!,0,0,0,0,"Jun 4, 2025 · 10:16 AM UTC",20,3,
9,juliannboryniec,"Podsumujmy: - Rafał Trzaskowski miał nielegalne finansowanie kampanii za blisko 500 000 złotych. - NASK nie dość, że mijała się z prawdą co do tego skandalu, to jeszcze napisali: TYLKO UWAGA, BO MOCNE. Że Karola Nawrockiego wspierała organizacja związana z Rosją na kwotę… 23 zł. - Poza tym w czasie kampanii RT był w oczywisty sposób faworyzowany przez media publiczne. Niezła praworządność, co? Dziękuję @wirtualnapolska i @PatrykSlowik za bycie światełkiem w tunelu 🫶",0,40,14,54,"Jun 3, 2025 · 10:51 PM UTC",470,73,
10,BostonTea84,"Niech ktoś to usunie z widoku publicznego. Ta tablica obraża moją inteligencję. Wyborcy Trzaskowskiego mają się za elitę intelektualną. Trzaskowski odsłonił tę tablicę. Jeśli uważasz, że widniejący na niej subsaharyjski murzyn uczestniczył w Powstaniu Warszawskim, to jesteś durniem bez podstawówki.",0,3,6,9,"Jun 4, 2025 · 9:34 AM UTC",299,40,
