id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Kinga8293128676,65 z obrazkami lgbt,0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",19,4,
2,tvnwarszawa,"Rafał Trzaskowski nie będzie prezydentem Polski. Pozostaje jednak prezydentem Warszawy, a przed nim jeszcze cztery lata rządzenia stolicą. tvn24.pl/tvnwarszawa/srodmie…",2,41,98,141,"Jun 2, 2025 · 4:48 PM UTC",168,19,
3,szykom89,"Ponad (niestety) 1 milionwyborców i zwolenników @PL_2050 @nowePSL @__Lewica nie poszło do urn w drugiej turze wyborów prezydenckich. Niepojęte. Brak słów. Postawa niezrozumiała i godna pożałowania. Pewnie nie trzeba mówić, iż te głosy dałyby wygraną @trzaskowski_? #Wybory",5,108,69,182,"Jun 3, 2025 · 11:36 AM UTC",272,37,
4,pikselowypiesel,"Ale to twój rząd jasno się określił, że tych praw człowieka nie dowiezie (a Tusk nawet się nie starał), bo ma wygodną wymówkę w postaci PSLu. Ten rząd trzeba zniszczyć, bo nic dobrego z niego już nie będzie.",0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",207,38,
5,JkmMikke,"Nie, nieironicznie - naprawdę dobra robota, każdego z Was. Pan Nitras, p. Lis, p. Giertych, Pani, no i oczywiście WCzc. Kinga Gajewska. Jesteśmy Wam bardzo zobowiązani. Dziękujemy. Proszę ich pozdrowić ode mnie.",4,119,23,146,"Jun 3, 2025 · 12:56 PM UTC",211,32,
6,NISRAKAyih,"Nie może być tak, że płotki z tyłu szeregu nadużywają uprawnień i nie szanują swojego stanowiska. To one powinny wylecieć, a NIE ministrowie, a już na pewno nie Trzaskowski.",0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",173,29,
7,MarcinPalade,"Przewaga @trzaskowski_ nad @NawrockiKn w obwodach zagranicznych wyniosła 163 tys. głosów. W moim modelu, użytym na potrzeby prognozy, było to 168 tys. głosów. Przypomnę, że przed II turą otoczenie polit. kandydata @ko_klub szacowało swoją przewagę nawet na 200 tys. Co było trudne do zrealizowania ze względu na widoczne, także w obwodach zagranicznych, przesunięcie sympatii na prawo (wynik kandydatów prawicy w pierwszej turze w 2020 to 30 proc. a w 2025 to 45 proc.). Jeśli IPSOS przyjął, w zastosowanej wadze, te 200 tys. to wpłynęło to na zawyżenie wyniku @trzaskowski_ w exit-poll z godz. 21 o 0,15 pp.",0,2,1,3,"Jun 3, 2025 · 2:06 PM UTC",608,97,
8,MrJohnBingham,"Już po wyborach, więc możemy wrócić do afery nielegalnego finansowania kampanii wyborczej @trzaskowski_ i nielegalnych działań prowadzonych m.in. za pośrednictwem firmy Estratos oraz spółek skarbu państwa i Fundacji Twój Głos Jest Ważny. Prawda, @Adbodnar?",11,679,23,713,"Jun 3, 2025 · 7:34 AM UTC",256,34,
9,marianpika2,Będziesz miał gdzie zamieszkać debilu,0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",37,5,
10,wPolityce_pl,Polacy z USA wybrali Nawrockiego. Trzaskowski cieszył się natomiast większą popularnością w Rosji i na Białorusi wpolityce.pl/polityka/731242…,0,36,2,38,"Jun 2, 2025 · 4:35 AM UTC",142,17,
11,chrzanikx,"Stanowski o tym dlaczego przegrał Trzaskowski: „Platforma nie rozumie, że to nie są czasy gdy można robić z ludzi debili”",24,979,263,1266,"Jun 3, 2025 · 8:58 AM UTC",121,20,
12,Pojjep,A to póki Trzaskowski nie jest prezydentem jemu można postawić wszystkie zarzuty?,0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",81,12,
13,Adamss1980,"Zacznijmy od tego, że gdyby nie takie pisowskie tępaki jak stanowski i mazurek to wygrałby Trzaskowski.",0,2,25,27,"Jun 3, 2025 · 11:04 AM UTC",103,16,
14,kasia_0407,Jest Pan wielki. Dziękuję.,0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",26,4,
15,BasiaMakowska,Moj Premier od zawsze. Najwybitniejszy polski polityk; Donald Tusk.,0,3,0,3,"Jun 3, 2025 · 12:54 PM UTC",67,9,
16,Bernard85065859,"Mina Kraśki bezcenna,kiedy Tusk próbuje mu wmówić, że Trzaskowski jest kandydatem niezależnym.",0,7,2,9,"Jun 3, 2025 · 1:58 PM UTC",94,12,
17,NISRAKAyih,"Nie może być tak, że płotki z tyłu szeregu nadużywają uprawnień i nie szanują swojego stanowiska. To one powinny wylecieć, a NIE ministrowie, a już na pewno nie Trzaskowski.",0,0,0,0,"Jun 3, 2025 · 2:08 PM UTC",173,29,
