id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,JolaHolmes221B,Wot zagwozdka...,0,0,0,0,"Jun 3, 2025 · 11:08 AM UTC",16,2,
2,chrzanikx,"Stanowski o tym dlaczego przegrał Trzaskowski: „Platforma nie rozumie, że to nie są czasy gdy można robić z ludzi debili”",15,557,109,681,"Jun 3, 2025 · 8:58 AM UTC",121,20,
3,PMiter,"Media dalej nic nie rozumieją i niektórzy dziennikarze... Dalej się zastanawiają, dlaczego Trzaskowski przegrał, zapominają o jednym, że przegranych nie pyta się, jak tego dokonali i jak to zrobili... Oni dalej idą w modusy, że społeczeństwo jest po prostu ""głupie"" i ""niedouczone"" Oni naprawdę w tych złotych ekranach uważają się za lepszych, a niektórzy jak ci z Onetu potrafią napisać na bezczela, że ""dziś to wszyscy mądrzy i wiedzą dlaczego RT przegrał"" Tak ludzie są mądrzejsi od was. Wy drogie bufoniaste dziennikarstwo i redaktorstwo nie różnicie się niczym od polityków i propagandy, żyjecie na końcu łańcucha wydalniczego układu, którego pilnujecie. Wiemy jedno, Trzaskowski przegrał, bo żeście za bardzo rycerzyków na białych koniach zgrywali, zamiast od początku mobilizować władzuchnę, to żeście włazili im w cztery litery i z takimi jak ""Morales"" się bujaliście w tępej propagandzie, a na końcu połapaliście się, że 1,5 roku przespano, ale już czasu na krytykę nie było, więc trzeba było z Nawrockiego zrobić ofiarę i dodać im turbo mobilizacji na prawicy. Tacy jesteście mądrzy. To dzięki wam, mamy to, co mamy dziś",2,17,9,28,"Jun 3, 2025 · 9:23 AM UTC",1130,176,
4,ArliBro,"Ludzie co piszą, że Trzaskowski to przegryw to chyba odklejeni xdd dostał poparcie prawie 50% głosujących xd jak to jest przegrywanie to chce tak codziennie.",15,52,665,732,"Jun 2, 2025 · 4:46 PM UTC",157,25,
5,xOstatniaProsta,"Rafał Trzaskowski wygrał wśród przestępców (wszystkie więzienia) Karol Nawrocki wygrał wśród żołnierzy (Kosowo, gm. Dubicze Cerkiewne)",3,482,31,516,"Jun 2, 2025 · 7:59 AM UTC",134,16,
6,Tom215784749388,Był. dwie godziny. Nikt ci nie powiedział? A taka inteligentna. Niby.,0,0,0,0,"Jun 3, 2025 · 11:08 AM UTC",69,11,
7,Puszeqqq,"o nie, nie z zemsty panie @wsamraz. Przegraną Trzaskowski zawdzięcza takim typom jak Tusk, Lis, Schnepf, całemu tvp info i tvn. Za tą całą butę i chamstwo w stosunku do normalnych ludzi. A ja jako wyborca Mentzena zagłosowałem żeby pachołek Schwaba nie rządził w Polsce,",0,0,0,0,"Jun 3, 2025 · 11:08 AM UTC",270,45,
8,f_asselineau,"POLOGNE LES ESTIMATIONS SE SONT ENCORE TROMPÉES EN FAVEUR DU CANDIDAT EUROPÉISTE 2h après la fin du scrutin,elles donnaient 51% au candidat européiste Trzaskowski. En fait,c'est l'inverse: 51% pour Nawrocki. Le trucage à la moldave ou à la roumaine aurait-il foiré in extremis ?",8,903,49,960,"Jun 2, 2025 · 10:15 AM UTC",278,44,
9,Winstonfreedom6,"Większość wyborców Mentzena na tiktoku pisało byle bie Trzaskowski który wpóści masy migrantów do Polski. Tu nie chodziło o realizowanie tej czy innej obietnicy,, tu chodziło o jednostronny przekaz",0,0,0,0,"Jun 3, 2025 · 11:08 AM UTC",197,29,
10,sjastrzebowski,"Wstałem i morda mi się cieszy od ucha do ucha. Co ona się tak cieszy - myślę sobie. Aha, ona się cieszy, bo filmik z Bodnarem oglądam, a tam łamacz prawa opowiada co teraz zrobi, jak Trzaskowski został już prezydentem. Dzień dobry cieszącym się Państwu! Za chwilę Przyjaciele Republiki @RepublikaTV",0,170,37,207,"Jun 3, 2025 · 4:14 AM UTC",298,50,
11,yung_yanush,"Sanacja polskiego życia politycznego, prosimy panie Karolu o to!",5,11,4,20,"Jun 2, 2025 · 8:07 PM UTC",64,9,
12,Chrabina_,"Duże miasta. Ośrodki akademickie, kultura, handel. Tu się wykształcisz, pójdziesz do teatru,na koncert,do dobrej knajpy, znajdziesz rozwojową pracę. Dlaczego rolniku za dotacje z Unii przysyłasz nam swoje dziecko, widzisz u nas dla niego szansę, a później głosujesz nam na złość?",6,113,170,289,"Jun 3, 2025 · 6:18 AM UTC",279,40,
13,elfattipappi,"Trzaskowski miał za sobą Onet, TVN, Polsat, nielegalnie przejętą TVP; wasz sztab od strzała dostawał tajne dokumenty z ABW; minister finansów nielegalnie wstrzymywał wypłatę subwencji dla PiS; premier musiał jeździć po mediach i błagać o głosy; tony fejków, kłamstw, hejtu; policja aresztująca zwolenników Nawrockiego, cały aparat państwowy, medialny, wszystkie policje tajne, jawne i dwuplciowe, A I TAK PRZEGRAŁ??? To może ten wasz kandydat jednak nie był taki świetny, co? #justsaying vm.tiktok.com/ZNdBqbPef/",0,1,0,1,"Jun 3, 2025 · 10:06 AM UTC",512,71,
14,PiotrWiel,"Z pewnością nie jest to sztuczna inteligencja, ale naturalna i raczej wrodzona głupota.",0,6,3,9,"Jun 3, 2025 · 10:49 AM UTC",87,13,
15,LakePoliticsYT,18-29 year old voters in Poland 2020: 🟧Rafał Trzaskowski: 63.7% 🟦Andrzej Duda: 36.3% 2025: 🟦Karol Nawrocki: 51.9% 🟧Rafał Trzaskowski: 48.1% 🟦31.2% swing towards the right. There is a global trend of younger voters towards Right-Wing Populist parties,51,308,37,396,"Jun 2, 2025 · 1:00 PM UTC",249,37,
16,Load newest,Brak treści,0,0,0,0,,11,2,
17,KrzysztofCudow1,"Tak, to była chwilka, jedna dwugodzinną chwila. Możesz się cieszyć. Tylko taki wojownik - Karol 🥊 NAWROCKI 🦅 godzien prezydentury Nsjjaśniejszej Rzeczypospolitej",0,0,0,0,"Jun 3, 2025 · 11:08 AM UTC",161,22,
18,Renata512339531,"To co kochane dzieci? Teraz pora na płatne studia, prawda? Przecież za tym głosowaliście. 800+ to też niepotrzebne rozdawnictwo, czas na likwidację!",2,120,75,197,"Jun 3, 2025 · 6:21 AM UTC",148,22,
19,Argenpoirot,"Polonia siempre parece un oasis. Será por como votan. Trzaskowski, de derecha, saco el 50,3% de los votos y Nawrocki, de extrema derecha, saco 49,7% Sin lugar para zurdos",181,3305,522,4008,"Jun 1, 2025 · 7:31 PM UTC",170,29,
20,PiotrSemka,"Unikalne nagranie z tych niedzielno- wieczornych dwoch godzin gdy wydawało się, że Trzaskowski wygrał. Bodnar miał już plan blitzkriegu, który miał całkowicie ubezwłasnowolnić wymiar sprawiedliwości.",7,252,16,275,"Jun 3, 2025 · 7:03 AM UTC",199,25,
21,D_Tarczynski,"„Za przepraszam i dziękuję to się nie kupuje” Drugi raz zrobiłaś Rafałowi porażkę. Soros upomni się o zwrot inwestycji! Weź Gajewską, worek kartofli i nie wracaj. Albo wróć na parlamentarne",1,59,12,72,"Jun 3, 2025 · 8:09 AM UTC",189,30,
22,chrzanikx,"Stanowski o tym dlaczego przegrał Trzaskowski: „Platforma nie rozumie, że to nie są czasy gdy można robić z ludzi debili”",15,557,109,681,"Jun 3, 2025 · 8:58 AM UTC",121,20,
23,St_Janecki,Prezydenci według wieku: Kwaśniewski - 41 lat Nawrocki - 42 lata Duda - 43 lata Wałęsa - 47 lat 2-godzinny Trzaskowski - 53 lata Kaczyński - 56 lat Komorowski - 58 lat,0,15,3,18,"Jun 3, 2025 · 10:57 AM UTC",167,32,
24,kamils74,Bo pis nie przegrał. Ty głupi jesteś? Serio? @tzolciak,0,0,0,0,"Jun 3, 2025 · 11:07 AM UTC",54,9,
25,bikerxtc,Wykupione tereny przez warszawkę ...,0,0,0,0,"Jun 3, 2025 · 11:07 AM UTC",36,5,
26,Kinga8293128676,"To sa ludzie z polskim obywatelstwem, nie Polacy",0,0,0,0,"Jun 3, 2025 · 11:07 AM UTC",48,8,
27,TSC_77,"Ale Sikorski nie musiałby zdobyć 50% tych głosów. Wystarczyłoby 30%, a Trzaskowski był dla tych ludzi niewybieralny. Osobna sprawa, że Sikorski to zupełnie inna liga i nie boi się walki i zwarć i np na luzie poszedł do Stanowskiego, a trzask nie poszedł.",0,0,0,0,"Jun 3, 2025 · 11:07 AM UTC",254,43,
28,Lucianu00176160,"uczciwego, dobry żart.",0,0,0,0,"Jun 3, 2025 · 11:07 AM UTC",22,3,
