id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,Cezary01087604,Za dobry z matematyki to ty chyba nigdy nie byłeś ancymonku? XD,0,0,0,0,20-06-25,63,12,,https://nitter.net/Cezary01087604/status/1935976316580319571#m
2,padrinio,A te zaplombowane worki z głosami to przywiezie ABW? Czy ktoś inny komu nikt nie patrzy na ręce?,0,1,0,1,20-06-25,96,18,,https://nitter.net/padrinio/status/1935970071374926002#m
3,dorotagma,"Gdyby miał poparcie znacznej większości wygrałby, pomimo oszustw, a gdyby skręcili i to - stalibyśmy dziś na ulicach w jego obronie. On się nawet sam nie umie bronić, walczyć o swoje, więc jak miałby niby walczyć o nas?",0,0,0,0,20-06-25,219,38,,https://nitter.net/dorotagma/status/1935976301770248585#m
4,21lupus,"Dr Gabriela Masłowska: - ""Mamy do czynienia z dosyć luźną polityką fiskalną rządu. Deficyt budżetu państwa wynoszący w tej chwili 6,4 proc. i dług publiczny, który po raz pierwszy w historii przekroczył 60 proc. PKB, to są kwestie bardzo niepokojące"". radiomaryja.pl/?p=4167419",1,13,0,14,20-06-25,277,41,,https://nitter.net/21lupus/status/1935917065828749592#m
5,siwinski_kamil,W szkole był taki przedmiot. Matematyka. Polecam!,0,0,0,0,20-06-25,49,7,,https://nitter.net/siwinski_kamil/status/1935976232727806171#m
6,andkno61,A czy Bodnar o tym wie?,0,1,0,1,20-06-25,23,6,,https://nitter.net/andkno61/status/1935970423826792750#m
7,z0rr064,"ZJEBY i SHITY to dywersanci, swoim wyborami w roku 2023 i powierzniem władzy samozwańczemu premierowi doprowadzili do katastrofy. Dziś Polską rządzi psychopatyczny mecenas pieniacz z zarzutami karnymi za pośredenictwem Tuska. Państwo Polskie to karykatura państwa prawa.",1,9,1,11,20-06-25,270,36,,https://nitter.net/z0rr064/status/1935958814819336360#m
8,Bertold_K,"Polska. Jaki jest wynik wyborów? Przeliczyli głosy w Grudziądzu. Tamtejszy sąd potwierdza - jednak Trzaskowski: „Rafał Trzaskowski wygrał w obwodzie nr 25, choć początkowo wyniki wskazywały na Karola Nawrockiego” wiadomosci.wp.pl/ponownie-pr…",9,353,62,424,19-06-25,242,30,,https://nitter.net/Bertold_K/status/1935784200059445499#m
9,szakal2012,Skoro nie ma dowodów że Trzaskowski brał narkotyki to padanie by to potwierdziło. I Trzaskowski wytrącił by broń z ręki Narockiemu,0,0,0,0,20-06-25,130,21,,https://nitter.net/szakal2012/status/1935976202050682961#m
10,TomaszJRakowski,🚨 Tusk i Trzaskowski kłamali w kampanii! Pakt Migracyjny OBOWIĄZUJE Polskę i wejdzie w życie w czerwcu 2026 r.! KE potwierdza: przymusowa relokacja lub finansowanie migrantów. 🤯 #PaktMigracyjny,10,537,16,563,16-06-25,193,28,,https://nitter.net/TomaszJRakowski/status/1934532298080162189#m
11,Hanna64556159,"Przyjaciółka Dudy, Manowska wbrew wszystkiemu, została Prezesem SN. Pisiory wyli, że to PDT chciał domykać system, gdyby Prezydentem został R. Trzaskowski..hipokryci 😡",3,72,2,77,19-06-25,167,22,,https://nitter.net/Hanna64556159/status/1935793143720386860#m
12,Ewawie194386,Wolnej niż Trzaskowski on nawet do policzenia nie poczekał,0,0,0,0,20-06-25,58,9,,https://nitter.net/Ewawie194386/status/1935976176163733815#m
13,WiejeWiatrZmian,Demokracja nie jest zła. Źli i nieuczciwi są tylko niektórzy obywatele.,0,0,0,0,20-06-25,71,11,,https://nitter.net/WiejeWiatrZmian/status/1935976165723816436#m
14,BSmalcem,"No przecież rozliczają. Z taką zapalczywością, że zapominają o tych, którzy potrzebują pomocy.",0,0,0,0,20-06-25,94,13,,https://nitter.net/BSmalcem/status/1935976147898024184#m
