hashtag,username,date,content,interactions,replies,retweets,likes,link
#trzaskowski,_sportsfollower,"Jun 7, 2025 · 10:11 PM UTC","Kolorowy misku, to ty mieszkasz w UK i widzisz co tu sie dzieje z nielegalnymi a mimo wszystko popierasz czlonka WEF i C40 Cities jakim jest Rafal Soros Trzaskowski ktory z Tuskiem od 12 czerwca 2026 rozpoczna Pakt Migracyjny !
What a muppet 🤦‍♂️",0,0,0,0,https://nitter.net/_sportsfollower/status/1931474096480522406#m
#trzaskowski,Arturro2305,"Jun 7, 2025 · 10:11 PM UTC",Zaznaczam że przed wyborami krzyczeli że  każdy głos jest ważny a teraz słychać narrację że panad  1000 głosów nic nie zmieni .Tylko że te ponad 1000 głosów to tylko z dwóch OKW.  .Zresztą po co nam  wybory skoro nie przywiązuje dud wagi do transparentności wyborów ..🤨,0,0,0,0,https://nitter.net/Arturro2305/status/1931474088150913375#m
#trzaskowski,MacVVilk,"Jun 6, 2025 · 6:20 PM UTC","Ogółem w skali kraju można wskazać 12 (słownie: DWANAŚCIE) komisji, gdzie wyniki @NawrockiKn odbiegały od wartości oczekiwanej o ponad 100 głosów, a wartości @trzaskowski_ były zaniżone. Łączna różnica to 2340 głosów.

O komisji nr 95 w Krakowie czy nr 13 w Mińsku Maz. pisały już media. Nie zdziwię się, jak zaraz usłyszymy jeszcze o gminie Olesno, Strzelcach Opolskich czy Tychach.

Co ciekawe, komisji, gdzie wyniki @trzaskowski_ odbiegały od wartości oczekiwanej in plus o ponad 100 głosów było natomiast 469, a liczba ""nadmiarowych"" głosów to ponad 91 tysięcy

Proponuję np. przyjrzeć się komisji nr 11 na warszawskim Mokotowie, w której Karol Nawrocki otrzymał... 2 głosy więcej niż w I turze, a Rafał Trzaskowski 868 głosów więcej.",1246,180,949,117,https://nitter.net/MacVVilk/status/1931053580246794628#m
#trzaskowski,KapiBari03,"Jun 7, 2025 · 10:11 PM UTC",Od kiedy Trzaskowski to Lewica ???????????,0,0,0,0,https://nitter.net/KapiBari03/status/1931474012061790218#m
#trzaskowski,lkwarzecha,"Jun 7, 2025 · 9:34 PM UTC","Wyborca pana Trzaskowskiego uważa, że inni wyborcy pana Trzaskowskiego mogli mieć problem z rozpoznaniem na karcie, który to jest pan Trzaskowski, a który Nawrocki, gdyż nazwisko na ""n"" było przed nazwiskiem na ""t"". 
Może pan Trzaskowski powinien był przed wyborami zmienić nazwisko na ""Askowski""?
Zastanawiam się, co jeszcze zostanie wymyślone. Tu mamy już wprost stwierdzenie, że wyborcy pana Trzaskowskiego to debile, względnie analfabeci (ja tak nie uważam - to jest opinia pana Fołtyna). 
Kto da więcej?",39,28,10,1,https://nitter.net/lkwarzecha/status/1931464826875941285#m
#trzaskowski,GosiaSobierajs2,"Jun 7, 2025 · 10:10 PM UTC","Beata w Warszawie siedzisz, korzystasz z tego wszystkiego co w stolicy Trzaskowski zrobił?? Nie podoba się to won na wieś pod granice Białoruska 😄 obłuda!",0,0,0,0,https://nitter.net/GosiaSobierajs2/status/1931473979849470408#m
#trzaskowski,VonKappe,"Jun 7, 2025 · 6:35 AM UTC","Pani Karolina Opolska po ogłoszeniu wyników late poll: 
Perspektywa mitu ukradzionych wyborów grozi nam tylko z jednej strony - w sytuacji, w której wygrałby Rafał Trzaskowski. Jeśli Karol Nawrocki wygra o ten jeden punkt procentowy, to nie wyobrażam sobie scenariusza, w którym dochodzi do paraliżu kraju, bo »wybory zostały sfałszowane, będziemy składać skargi«.

W trakcie Anna Siewierska potwierdza: 
Tak, oczywiście.",137,21,103,13,https://nitter.net/VonKappe/status/1931238517285269712#m
#trzaskowski,starczyk,"Jun 7, 2025 · 4:35 PM UTC","– Młodzi postawili na Karola Nawrockiego. Rafał Trzaskowski to symbol obciachu - ocenia sytuację po wyborach prezydenckich minister @jciesz.

📺 Dyskusja na żywo teraz w @RepublikaTV oraz na YouTube",56,18,36,2,https://nitter.net/starczyk/status/1931389491542921455#m
#trzaskowski,Ppawcio20,"Jun 7, 2025 · 10:10 PM UTC","Niestety większość ludzi jest bezrefleksyjna..
Sam pracowałem kiedyś w lokalu na osiedlu, które powstało obok budynku firmy transportowej - mieszkańcy SAMI DOBROWOLNIE kupili tam mieszkania a potem ciągle robili rejwach, że ""hałas ciężarówek im przeszkadza.."" 🤦‍♂️",0,0,0,0,https://nitter.net/Ppawcio20/status/1931473946953523371#m
#trzaskowski,AjDowejko,"Jun 7, 2025 · 1:23 PM UTC","Oba zdjęcia dzielą 3️⃣ lata ‼️

➡️ Po lewej widzimy prezydenta stolicy @trzaskowski_ w ostatnich minutach meczu z Legionovią, który dał KSP upragniony awans do II ligi

➡️ Po prawej widzimy apartamentowiec rosnący przy boiskach KS Polonia.

Nie bądź jak Rafał.

#StadionDlaPolonii",15,2,12,1,https://nitter.net/AjDowejko/status/1931341361984245998#m
#trzaskowski,rzep8,"Jun 7, 2025 · 5:38 PM UTC","Pamiętajcie, jakby wygrał Trzaskowski, to wybory są nielegalne.

Jak wygrał Nawrocki to przeliczanie głosów w komisjach, gdzie członkowie przyznali się do błędu jest bez sensu i pokazuje brak umiejętności przyznania się do porażki.

Hipokryzja polskiej prawicy nigdy nie przestanie mnie zadziwiać.",268,40,225,3,https://nitter.net/rzep8/status/1931405328215581149#m
#trzaskowski,PolsatNewsPL,"Jun 7, 2025 · 11:05 AM UTC","Wojskowy Adam W. na terenie koszar zbierał podpisy poparcia dla @trzaskowski_. Prokuratura podjęła kroki
polsatnews.pl/wiadomosc/2025…",446,67,361,18,https://nitter.net/PolsatNewsPL/status/1931306592470695976#m
#trzaskowski,AjDowejko,"Jun 7, 2025 · 9:09 PM UTC","Drodzy poloniści,

 Dziś świętujemy mistrzostwo Polski U-17 i jesteśmy po udanym sezonie, ale przed klubem ciągle wielkie wyzwania dotyczące nowego stadionu, dlatego proponuję masową reaktywację hasztagu #StadionDlaPolonii ⚫️⚪️🔴⚫️

Pokażmy @trzaskowski_, że jest nas dużo 🫡",10,2,6,2,https://nitter.net/AjDowejko/status/1931458538468958537#m
#trzaskowski,OnetWiadomosci,"Jun 7, 2025 · 5:41 AM UTC","onet.pl/informacje/onetwarsz… ⬅️ Doszło do poważnej pomyłki przy liczeniu głosów

#wybory #głosowanie #pomyłka #MińskMazowiecki #Trzaskowski #Nawrocki",330,150,170,10,https://nitter.net/OnetWiadomosci/status/1931224992215445974#m
#trzaskowski,KrzysztofH1973,"Jun 7, 2025 · 2:45 PM UTC","Szybkie podsumowanie i wychodzi, że to Nawrockiemu skradziono 16000 głosów nieważnymi głosami, bo o tyle więcej jest głosów nieważnych w komisjach gdzie wygrał  Trzaskowski!",1,0,1,0,https://nitter.net/KrzysztofH1973/status/1931361874282504343#m
#trzaskowski,VarcislavZ,"Jun 7, 2025 · 10:09 PM UTC","Nie wierzę w to, że te irracjonalne argumenty👇 podrzuca ludziom-idiotom ktoś kto ""nie myśli logicznie"". Przeciwnie, uważam że toczy się tu wyrafinowana gra, w której wcale nie chodzi o to aby Trzaskowski został prezydentem. Mam kilka hipotez roboczych.",0,0,0,0,https://nitter.net/VarcislavZ/status/1931473580782489679#m
