id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label
1,Mateusz09543096,"Schodzi z prochów to normalne, najblizszy rok tak moze wyglądać, no chyba ze nie daj Boże znowu wejdzie na prochy ale to sie znowu postarzeje o 10 lat przez pol roku...",0,0,0,0,"Jun 4, 2025 · 7:03 PM UTC",168,31,
2,olasempruch,Jacek right wing for ever retweeted olasem @olasempruch 3h Replying to @jacek_liberski @NawrockiKn @trzaskowski_ 5 5 207,0,5,5,10,"Jun 4, 2025 · 3:47 PM UTC",120,17,
3,krzys2105,Oho wyszła Joanna zrodzona w gównoburzy. Co jej tak głowa pobielała,0,0,0,0,"Jun 4, 2025 · 7:03 PM UTC",67,11,
4,tomekkm1,"Jakby nie unia to by Rolnik hodował zwierzęta, ale nie hoduje. Chyba dawno na wsi nie byłeś, bo przecież gardzisz wieśniakami. Tyle w was pogardy dla ludzi o innych poglądach. To zadziwiające.",0,0,0,0,"Jun 4, 2025 · 7:03 PM UTC",192,32,
5,od_Artt,"Kto wygrał wybory prezydenckie? Kto doprowadził do zapaści finansów publicznych ? Kto ściga Zorro, Batmana Spidermana? Czyim świadkiem jest Jacek, aktor...Kto mści się na szefowej związków zawodowych w KAS, bo pogratulowała pierwszej damie, która pracuje w KAS? Kto miał w d...e całą KAS i nie chciał z nimi rozmawiać o podwyżkach i modernizacji, byle do wyborów? Komu, jak nie prawie 60% Polakom żyje się gorzej i to wg. Onetu? Gdzie kwota wolna? Gdzie bony dentystyczne dla dzieci i młodzieży ? Gdzie dzwoniący lekarz? Gdzie akademik za 1 zł, gdzie stypendium 1000 zł dla studentów, gdzie dopłata 600 zł dla wynajmujących mieszkania? Kto doprowadził do zapaści służby zdrowia i całkowitej niewydolności NFZ? Gdzie zniesione limitu NFZ na leczenie szpitalne? Ile podwyżki rząd planuje na przyszły rok dla budżetówki? Także tego...o tym, kto wygrywa wybory decyduje to, jak wyborcom ogólnie się żyje i żyło, ale nie na X, a w Polsce...",0,5,0,5,"Jun 4, 2025 · 6:25 PM UTC",935,149,
6,ToNiePrzejdzie,"O, Cenckiewicz ma odpowiadać za bezpieczeństwo narodowe w Kancelarii Nawrckiego. Wnuk UB-ka z Hotelu Grand, patron szpiega rosyjskich służb Tomasza L. , który okłamał SKW w ankiecie bezpieczeństwa i stał za odtajnieniem planów obrony Polski. Nie mogli wybrać lepiej. Na Kremlu.",13,469,198,680,"Jun 4, 2025 · 12:25 PM UTC",277,41,
7,anna_swiergocka,"Wiecie co to jest? To kolejna partia drzew, która jedzie sobie Niemiec, spod holenderskiej granicy, prosto na Plac Bankowy w Warszawie! Blisko 1 tysiąc km jadą niemieckie drzewa, za pieniądze Warszawiaków. Tak wygląda patriotyzm gospodarczy , którym @trzaskowski_ chwalił się w kampanii prezydenckiej. O śladzie węglowym nawet nie wspomnę 🤨 #Warszawa #trzaskowski #placbankowy",30,1237,117,1384,"Jun 4, 2025 · 8:56 AM UTC",376,53,
8,LukaStpn,"Bo to był sztuczny usmiech , ciężko zrozumieć?",0,0,0,0,"Jun 4, 2025 · 7:03 PM UTC",46,8,
9,ElzbietaPlatek,"Dziękuję i pozdrawiam, Panie Prezydencie @trzaskowski_",0,5,0,5,"Jun 4, 2025 · 6:17 PM UTC",54,6,
10,gimnastyczna,Tadeusz Batyr odbiera gratulacje z okazji wyboru na nowe stanowisko:,3,19,6,28,"Jun 4, 2025 · 6:27 PM UTC",68,10,
11,Agnieszka_Opole,"Panie Prezydencie, jak miło Pana widzieć! Super pomysł",0,0,0,0,"Jun 4, 2025 · 7:03 PM UTC",54,8,
12,Gapsel22,Oraz głosujących na zaświadczenia zwożonych autokarami,0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",54,6,
13,Anika12000536,Kloska zamknęła dwa bloki energetyczne w grudniu w elektrowni w Pątnowie. Czy ktoś w końcu pójdzie po rozum do głowy i wypieprzy te dwie durne baby z ministerstwa?,0,3,1,4,"Jun 4, 2025 · 5:24 PM UTC",163,28,
14,tadajewski,A ile głosów wpadło dzięki nielegalnej kampanii sfinansowanej z zagranicy?,0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",74,10,
15,Ty2_911,Bardzo dobre. Faflun niszczy moje miasto i utrudnia życie Warszawiakom,0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",70,10,
16,MlodziDemokraci,Rafał Trzaskowski dziś otworzył nowy Plac Centralny w Warszawie. Nie zamknął się w domu jak niektórzy próbowali insynuować. Dalej ciężko pracuje dla dobra mieszkańców. To jest prawdziwy patriotyzm!,17,322,412,751,"Jun 4, 2025 · 10:22 AM UTC",197,28,
17,jacek_rightwing,"A jak się mieli cieszyć, idioci. 🤣🤣🤣🤣🤣",0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",38,7,
18,ciotka_Majka,"... Mam nadzieję, że odpowiecie za ten hejt. Robiliście z niego ćpuna- okazało się, że jest czysty i to Trzaskowski nie chciał się zbadać. Robiliscie z niego sutenera- to też okazało się hejtem. A jeśli chodzi o ustawki...",0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",222,38,
19,vonHimbeere,Powiem tak. To była tratwa ratunkowa dla platformy. P2050 żerowała na resentymencie wobec PiS jak i platformy ale była jednak przyjaciółkom PO. Sprytny trik PO za który Trzaskowski musiał zapłacić przegraną w tych wyborach.,0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",223,34,
20,Load newest,Brak treści,0,0,0,0,,11,2,
21,pis_plis,"Pan, jak zawsze, pokazał dziś klasę, nawet wtedy, gdy funkcjonariusze pisowskiej szczujni próbowali się na Panu wyładować. Nie udało się im. Panie Prezydencie, do trzech razy sztuka. Już teraz deklaruję: ja i moja rodzina chcemy na Pana zagłosować w następ wyborach prezydenckich.",0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",280,42,
22,Kryhor,"Krzysztof Bosak, wczoraj w wywiadzie, dla Radia Wnet nie mógł sobie przypomnieć, kto jest autorem hasła ""Byle nie Trzaskowski"" czy to on wymyślił czy jakiś inny polityk?- To przypominam, Panie Krzysztofie autorów, tego hasła.",2,185,12,199,"Jun 4, 2025 · 5:21 AM UTC",225,34,
23,_pezet,Może ten artykuł ci wyjaśni jak Tobą zmanipulowano o ile chcesz poznać prawdę o sobie: wydarzenia.interia.pl/feliet…,0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",116,16,
24,madforfree,"La vittoria del presidente Karol Nawrocki in Polonia manda in fumo i progetti del premier Tusk e del gruppo di Weimar costituito con Macron e Merz. L’accusa allo sconfitto Trzaskowski: troppo concentrati su Lgbt, aborto e Ue, avete dimenticato i problemi reali della gente comune. E i giovani, in Polonia come in tutta Europa, non vi votano più. Oggi su @LaVeritaWeb",3,103,11,117,"Jun 3, 2025 · 5:48 AM UTC",366,61,
25,xksgsuwaamdhsn,Twojego komentarza XD bo wygrał tam trzaskowski XD,0,0,0,0,"Jun 4, 2025 · 7:02 PM UTC",50,8,
