id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,AdamAdam4949,"Ciekawe czy zagraniczni przywódcy wiedzą że pisowiec pełniący funkcję dzięki pisowskiemu fałszerstwu i złamaniu prawa przez Hołownię, miał związki z gangsterskim półświatkiem Trójmiasta. Ponowne przeliczenie głosów pozwoliłoby zmyć tę plamę z Polski. Wybory należy powtórzyć.",0,16,5,21,15-09-25,275,35,,https://nitter.net/AdamAdam4949/status/1967568501260107889#m
2,EuronaviPL,Wybory się zbliżają?,0,0,0,0,15-09-25,20,3,,https://nitter.net/EuronaviPL/status/1967608124384411936#m
3,kemo1730764,Zakończmy już te rządy... Tzn. wy Razem zakończcie te rządy 😅 ... Ciągle liczę na wybory jesienne/wiosenne 🙏,0,0,0,0,15-09-25,108,18,,https://nitter.net/kemo1730764/status/1967607637085970862#m
4,grok,"Aby uwolnić się od takich zobowiązań, Polska może działać poprzez procesy demokratyczne: wybory parlamentarne (następne w 2027 r.), naciski na posłów via petycje czy protesty, lub nowe ustawy. Ostatnio prezydent zawetował projekt, ale trwają prace nad alternatywami. Decyzje zależą od rządu i Sejmu – monitoruj debaty w mediach.",0,0,0,0,15-09-25,328,48,,https://nitter.net/grok/status/1967607304897065237#m
5,realtek12345,Wybory w kanadyjskim Ontario. Jakieś obserwacje?,9,163,184,356,14-09-25,48,6,,https://nitter.net/realtek12345/status/1967237444992139572#m
6,zenon_kurek,Wybory w dyktaturze?,0,0,0,0,15-09-25,20,3,,https://nitter.net/zenon_kurek/status/1967607113255104996#m
7,AdamJaw78742019,"Bardzo ważne stanowisko @PRAWNICYdlaPOL . Nie chodzi tylko o obronę sędziów- komisarzy wyborczych przed arbitralnym działaniem @MS_GOV_PL i @MSWiA_GOV_PL ,ale przede wszystkim o ochronę organów wyborczych. Atak na komisarzy wyborczych to w istocie atak na wybory.",1,12,0,13,15-09-25,263,36,,https://nitter.net/AdamJaw78742019/status/1967587786640564686#m
8,LukaszBok,"Wybory samorządowe w Nadrenii Północnej-Westfalii, które postrzegane są jako test nastrojów w Niemczech: Wygrywa CDU (partia kanclerza) z wynikiem ok. 34%, czyli mniej więcej tyle samo, co w poprzednich wyborach. Na drugim miejscu SPD, ale wynik to ok. 22%, co jest ich najgorszym rezultatem w wyborach lokalnych od czasu powstania Nadrenii Północnej-Westfalii. Na trzecim miejscu AfD z ok. 15%, co jest aż potrojeniem wyniku z poprzednich wyborów.",3,37,31,71,14-09-25,448,67,,https://nitter.net/LukaszBok/status/1967297896052834411#m
9,ENZO_MACIEJ,CDU WYGRAŁO ZDECYDOWANIE WYBORY W PÓŁNCNEJ NADRENIA-WESTFALIA ‼️‼️,0,8,7,15,14-09-25,66,8,,https://nitter.net/ENZO_MACIEJ/status/1967293812755296366#m
10,ENZO_MACIEJ,Ogromne ZWYCIĘSTWO CDU‼️‼️ Wybory do Landstagu Półncna Nadrenia-Westfalia ‼️‼️ ⬛️ CDU -> 34% 🟥 SPD -> 21% 🟦 AFD -> 16% 🟩 Zieloni -> 12% 🟪 Lewica -> 5%,0,10,2,12,14-09-25,150,29,,https://nitter.net/ENZO_MACIEJ/status/1967293522501079144#m
11,_Corylus_,"Spokojnie, jeszcze góra pół roku i koncert przedwyborczych obietnic zacznie się od nowa. Jak co wybory.",0,0,0,0,15-09-25,103,16,,https://nitter.net/_Corylus_/status/1967606359391891931#m
12,PrawyNews,"🛑NEWS🛑 Elon Musk, przemawiając podczas anty-migranckiego zgromadzenia w Londynie, zażądał wirtualnie wprowadzenia „rewolucyjnej zmiany rządu” w Wielkiej Brytanii. 🗣️ Apelował o rozpad parlamentu i nowe wybory, mówiąc, że obywatele powinni przejąć kontrolę nad krajem, bo obecna władza „nie dba o ludzi”.",0,2,0,2,15-09-25,303,41,,https://nitter.net/PrawyNews/status/1967604329466007657#m
13,alojjola,Drony drony a tymczasem w koalicji u Tuska #Trzaskowski #wybory,0,15,2,17,15-09-25,63,10,,https://nitter.net/alojjola/status/1967586004950491343#m
14,Ewa23228060,"Bezkarnie łamane jest prawo; jedni nie uznają prokuratora, inni nie uznają orzeczeń sądowych, jeszcze inni nie uznają braku dostępu do dokumentów tajnych, wybory się fałszuje, brak orzeczenia SN o wyborze prezydenta, reputacja prezydenta jest wątpliwa. Panuje anarchia.",0,7,2,9,14-09-25,269,37,,https://nitter.net/Ewa23228060/status/1967215366289142083#m
