id,username,text,likes,retweets,replies,total_interactions,post_date_iso,text_length,word_count,sentiment_label,link
1,aszka_jo,"I proszę się nie podpisywać pod decyzją @NawrockiKn. Wszyscy dobrze wiemy, jak było za Państwa czasów i jak postępował prezydent Duda. Właśnie m.in. z tego powodu przegraliście wybory.",0,0,0,0,25-08-25,184,28,,https://nitter.net/aszka_jo/status/1960001666490519671#m
2,FictionFanPL,A wystarczyło przeliczyć głosy I sprawdzić czy on wygrał wybory 🤷‍♀️ #przeliczyćwszystkiegłosy #przeliczyćgłosy. Nadal można to sprawdzić tylko czy Wam starczy odwagi??,0,8,0,8,25-08-25,168,22,,https://nitter.net/FictionFanPL/status/1959941779404320821#m
3,nowePSL,"💬 To jest skandal. Nie ma chyba na świecie drugiego kraju, w którym urzędujący minister obrony narodowej, wicepremier ujawnia strategiczne plany obrony własnego kraju na użytek polityczny, po to, by partia wygrała wybory 🍀@PZgorzelskiP 🖥️@OnetRano",0,6,0,6,25-08-25,247,35,,https://nitter.net/nowePSL/status/1959915995545452861#m
4,prawolewak,"On nie robi nic na oślep, to ruski sługus, tak jak Trump. Przestańcie siebie i nas oszukiwać, pomogliście zainstalować putinowca na stanowisku prezydenta uznając sfałszowane wybory. Wszyscy posłowie, którzy uczestniczyli w jego zaprzysiężeniu, przyłożyli rękę do tej zdrady.",0,17,1,18,25-08-25,274,38,,https://nitter.net/prawolewak/status/1959966634975601088#m
5,JKowalski_posel,Nominatka Donalda Tuska przegrała wybory na prezydenta Zabrza. Świetny początek tygodnia.,5,111,113,229,25-08-25,89,11,,https://nitter.net/JKowalski_posel/status/1959852103809028245#m
6,Wojtek64968985,"To znaczy, on to miał w dupie, ale chciał wygrać wybory.",0,2,0,2,25-08-25,56,11,,https://nitter.net/Wojtek64968985/status/1959977261764841682#m
7,FlecistaRasista,"""przeliczyć głosy"" ""to nie jest mój prezydent"" ""rafał jest moim prezydentem"" ""wybory sfałszowali"" ""powtórzyć wybory"" ""przeliczyć głosy""",0,0,0,0,25-08-25,135,17,,https://nitter.net/FlecistaRasista/status/1960001194241503239#m
8,Lukasz22343327,"Przecież jak on będzie dalej soba i tak będzie postępował, i nie da się złamać to wygra kolejne wybory w pierwszej Turze.",0,0,0,0,25-08-25,121,22,,https://nitter.net/Lukasz22343327/status/1960001139207770579#m
9,WaclawJan,"Kamil Żbikowski, prezydent-elekt Zabrza, dostał od współpracowników symboliczny prezent - figurkę Dawida.👱 🟡 Bo te wybory to de facto była walka Dawida z Goliatem. Naprzeciwko Kamila stanęła armia partyjno-urzędnicza, potężny moloch uzbrojony po zęby w usłużne media, nieprzebrane pieniądze i aparat hejtersko-propagandowy. A jednak Goliat padł. Jak to się stało? 🟡 Kamila obserwuję od kilku lat. Historia Kamila to opowieść na inspirującą książkę o samorządowej ścieżce przez ciernie, pogoń za marzeniami, determinacji, wadze przyjaźni i stałego kształcenia. Dziś to nie urzędnicy gabinetowi wygrywają wybory, lecz nowocześni aktywiści, szczerze kochający miasto i z powołaniem. 🟡 Ale sukcesy nie przyszły od razu. Lepsze Zabrze to oddolny autorski projekt Kamila; liczy już ponad dekadę. Ścieżka była wyboista: 2014 - start do Rady Miejskiej (nieudany, 206 głosów) 2018 - start do RM (udany, 1 493 głosów; 3 radnych LZ) 2018 - 1. start na prezydenta Zabrza (III miejsce, 8 220 gł. (15,48%) 2024 - start do RM (udany, 1 261 głosów; 5 radnych LZ) 2024 - 2. start na prezydenta Zabrza (III miejsce, 10 485 gł. (21,41%) - Kamil przegrywa akces do II tury o 154 głosy. 2025 - Zabrze Referendum Odwoławcze (udane, prezydent Rupniewska odwołana; Donald Tusk mianuje Ewę Weber komisarzem) 2025 - 3. start na prezydenta Zabrza (II miejsce, 5 216 (16,14%) - Kamil przechodzi do II tury z zapasem zaledwie 272 głosów. Naprzeciwko kandydatka KO z wynikiem ponad dwukrotnie wyższym. 2025 - II tura - wygrana z Ewą Weber o 106 głosów. (16 031 (50,17%) do 15 925 (49,83%) Żyletki absolutne. 🟡Gdyby Kamil w którymkolwiek momencie tej linii czasu stracił sens, zapał, upór, ten sukces nie nadszedłby. 🟡 Gdyby Kamil w którymkolwiek momencie odpuścił kampanię, nie otworzył się na wsparcie pozostałych kandydatów, nie przygotował do debaty, ten sukces nie nadszedłby. 🟡 Gdyby Kamil odpuścił którąkolwiek dzielnicę gdzie brakowało rozmów z mieszkańcami, kampanii bezpośredniej, ten sukces nie nadszedłby. 🟡 Gdyby Kamil był innym człowiekiem, bez tych cennych walorów osobistych, doświadczenia, warsztatu samorządowca, nie zbudowałby Drużyny i w konsekwencji ten sukces nie nadszedłby. Samorząd to praca zespołowa, a mowa tu o metropolii liczącej 150 tys. 💪 Dziś ta Drużyna bierze stery Zabrza w swoje ręce. 💪 Drużyno! Zbudowaliście potężny kapitał zaufania. Zbudowaliście wspaniałe relacje, które wraz z rozwojem zwycięskiej kampanii tylko rosły w siłę. To nie sprint lecz maraton. Kamil stawał się prezydentem z każdym kolejnym rokiem, każdym kolejnym startem również nieudanym, każdym kolejnym dniem tej kampanii. Teraz nie dajcie się podzielić, nie dajcie sobie zasiać zwątpienia. Brawo Panie Prezydencie! Budujcie Zabrze.💪 Z serdecznymi pozdrowieniami i życzeniami powodzenia, #DrKroczek #KamilZbikowski #LepszeZabrze #Zabrze2025",0,17,5,22,25-08-25,2815,419,,https://nitter.net/WaclawJan/status/1959986810139844850#m
10,lis_tomasz,"PiS-owcy uznali za swój sukces wybory Zabrzu, w których kandydatka KO o 150 głosów przegrała z kandydatem, który wcześniej popierał Trzaskowskiego, a kandydat PiS odpadł w pierwszej turze. Desperados. Życzymy więcej takich tryumfów. 😂😂😂",3,184,115,302,25-08-25,236,34,,https://nitter.net/lis_tomasz/status/1959853928696217780#m
